"",BBK01.OEBJ02Q,BBK01.OEBJ02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:13,
2002-01,1.061,
2002-04,1.026,
2002-07,1.014,
2002-10,1.299,
2003-01,1.245,
2003-04,1.239,
2003-07,2.111,
2003-10,1.303,
2004-01,1.123,
2004-04,1.118,
2004-07,1.134,
2004-10,1.266,
2005-01,1.282,
2005-04,1.285,
2005-07,1.500,
2005-10,1.248,
2006-01,1.071,
2006-04,1.219,
2006-07,1.137,
2006-10,1.273,
2007-01,1.186,
2007-04,1.292,
2007-07,1.193,
2007-10,1.393,
2008-01,1.269,
2008-04,1.305,
2008-07,1.317,
2008-10,1.484,
2009-01,1.431,
2009-04,1.454,
2009-07,1.584,
2009-10,1.877,
2010-01,1.775,
2010-04,1.755,
2010-07,1.691,
2010-10,1.887,
2011-01,1.811,
2011-04,1.716,
2011-07,1.703,
2011-10,1.845,
2012-01,1.887,
2012-04,1.827,
2012-07,1.875,
2012-10,2.202,
2013-01,2.046,
2013-04,2.111,
2013-07,2.113,
2013-10,2.338,
2014-01,2.221,
2014-04,2.225,
2014-07,2.423,
