"",BBK01.OECI01T,BBK01.OECI01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:24,
2002-01,2.295,
2002-04,2.268,
2002-07,2.195,
2002-10,2.222,
2003-01,2.100,
2003-04,2.034,
2003-07,2.110,
2003-10,2.104,
2004-01,1.963,
2004-04,2.016,
2004-07,2.022,
2004-10,2.358,
2005-01,3.491,
2005-04,3.492,
2005-07,3.497,
2005-10,3.616,
2006-01,3.594,
2006-04,3.592,
2006-07,3.478,
2006-10,3.944,
2007-01,3.782,
2007-04,3.809,
2007-07,4.019,
2007-10,3.878,
2008-01,3.839,
2008-04,4.167,
2008-07,4.183,
2008-10,4.457,
2009-01,4.132,
2009-04,4.149,
2009-07,4.249,
2009-10,4.435,
2010-01,4.260,
2010-04,4.125,
2010-07,4.108,
2010-10,4.615,
2011-01,4.153,
2011-04,4.215,
2011-07,4.380,
2011-10,4.561,
2012-01,4.391,
2012-04,4.226,
2012-07,4.446,
2012-10,4.748,
2013-01,4.659,
2013-04,4.444,
2013-07,4.512,
2013-10,4.500,
2014-01,4.544,
2014-04,4.527,
2014-07,4.787,
