"",BBFN1.M.DE.N.1.L.CH.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.CH.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1981-06,.,No value available
1981-07,.,No value available
1981-08,.,No value available
1981-09,.,No value available
1981-10,.,No value available
1981-11,.,No value available
1981-12,5.103,
1982-01,.,No value available
1982-02,.,No value available
1982-03,.,No value available
1982-04,.,No value available
1982-05,.,No value available
1982-06,.,No value available
1982-07,.,No value available
1982-08,.,No value available
1982-09,5.390,
1982-10,5.415,
1982-11,5.438,
1982-12,5.457,
1983-01,5.480,
1983-02,5.563,
1983-03,5.626,
1983-04,5.595,
1983-05,5.623,
1983-06,5.655,
1983-07,5.690,
1983-08,5.729,
1983-09,5.781,
1983-10,5.865,
1983-11,5.910,
1983-12,6.052,
1984-01,6.059,
1984-02,6.058,
1984-03,6.065,
1984-04,6.069,
1984-05,6.139,
1984-06,6.116,
1984-07,6.118,
1984-08,6.151,
1984-09,6.204,
1984-10,6.302,
1984-11,6.308,
1984-12,6.255,
1985-01,6.241,
1985-02,6.271,
1985-03,6.217,
1985-04,6.199,
1985-05,6.202,
1985-06,6.187,
1985-07,6.207,
1985-08,6.220,
1985-09,6.292,
1985-10,6.292,
1985-11,6.281,
1985-12,6.214,
1986-01,6.329,
1986-02,6.240,
1986-03,6.248,
1986-04,6.210,
1986-05,6.227,
1986-06,6.290,
1986-07,6.524,
1986-08,6.525,
1986-09,6.521,
1986-10,6.505,
1986-11,6.357,
1986-12,6.333,
1987-01,6.254,
1987-02,6.437,
1987-03,6.436,
1987-04,6.476,
1987-05,6.492,
1987-06,6.532,
1987-07,6.552,
1987-08,6.453,
1987-09,6.415,
1987-10,6.414,
1987-11,6.409,
1987-12,6.432,
1988-01,6.440,
1988-02,6.581,
1988-03,6.716,
1988-04,6.691,
1988-05,6.846,
1988-06,6.875,
1988-07,6.852,
1988-08,6.802,
1988-09,6.908,
1988-10,6.904,
1988-11,6.992,
1988-12,7.013,
1989-01,7.177,
1989-02,7.197,
1989-03,7.045,
1989-04,7.128,
1989-05,7.083,
1989-06,7.392,
1989-07,7.339,
1989-08,7.343,
1989-09,7.250,
1989-10,7.128,
1989-11,7.134,
1989-12,7.222,
1990-01,6.974,
1990-02,6.510,
1990-03,6.601,
1990-04,6.631,
1990-05,6.763,
1990-06,6.974,
1990-07,7.304,
1990-08,7.353,
1990-09,7.265,
1990-10,7.188,
1990-11,7.283,
1990-12,7.260,
1991-01,7.157,
1991-02,7.221,
1991-03,7.258,
1991-04,7.268,
1991-05,7.284,
1991-06,7.585,
1991-07,7.558,
1991-08,7.574,
1991-09,7.612,
1991-10,7.731,
1991-11,7.770,
1991-12,8.020,
1992-01,8.174,
1992-02,8.231,
1992-03,8.250,
1992-04,8.275,
1992-05,8.386,
1992-06,8.652,
1992-07,8.562,
1992-08,8.497,
1992-09,8.519,
1992-10,8.398,
1992-11,8.391,
1992-12,8.364,
1993-01,8.415,
1993-02,8.645,
1993-03,8.565,
1993-04,8.597,
1993-05,8.994,
1993-06,9.091,
1993-07,9.094,
1993-08,9.144,
1993-09,9.159,
1993-10,9.174,
1993-11,9.165,
1993-12,8.762,
1994-01,8.658,
1994-02,8.487,
1994-03,9.015,
1994-04,8.861,
1994-05,8.759,
1994-06,8.634,
1994-07,8.867,
1994-08,8.884,
1994-09,9.027,
1994-10,9.025,
1994-11,9.030,
1994-12,8.905,
1995-01,7.092,
1995-02,7.156,
1995-03,7.168,
1995-04,7.184,
1995-05,6.906,
1995-06,6.840,
1995-07,6.809,
1995-08,7.115,
1995-09,6.730,
1995-10,7.017,
1995-11,7.081,
1995-12,6.648,
1996-01,6.399,
1996-02,6.346,
1996-03,6.287,
1996-04,6.203,
1996-05,6.107,
1996-06,6.098,
1996-07,6.396,
1996-08,6.241,
1996-09,6.395,
1996-10,6.322,
1996-11,6.261,
1996-12,6.247,
1997-01,6.250,
1997-02,6.094,
1997-03,5.715,
1997-04,5.324,
1997-05,5.259,
1997-06,5.308,
1997-07,5.314,
1997-08,5.349,
1997-09,5.324,
1997-10,5.360,
1997-11,5.473,
1997-12,5.605,
1998-01,5.779,
1998-02,5.841,
1998-03,5.810,
1998-04,5.857,
1998-05,5.837,
1998-06,6.010,
1998-07,5.642,
1998-08,5.738,
1998-09,5.426,
1998-10,5.380,
1998-11,5.289,
1998-12,5.828,
1999-01,5.877,
1999-02,5.838,
1999-03,6.003,
1999-04,6.265,
1999-05,6.217,
1999-06,6.207,
1999-07,6.237,
1999-08,6.764,
1999-09,6.623,
1999-10,7.560,
1999-11,7.542,
1999-12,7.413,
2000-01,7.499,
2000-02,7.540,
2000-03,7.426,
2000-04,10.452,
2000-05,10.396,
2000-06,10.901,
2000-07,10.907,
2000-08,11.021,
2000-09,11.002,
2000-10,11.152,
2000-11,11.162,
2000-12,9.811,
2001-01,9.725,
2001-02,9.694,
2001-03,9.767,
2001-04,11.606,
2001-05,8.836,
2001-06,8.780,
2001-07,8.660,
2001-08,8.677,
2001-09,8.985,
2001-10,8.993,
2001-11,8.996,
2001-12,9.091,
2002-01,7.604,
2002-02,7.477,
2002-03,7.251,
2002-04,8.188,
2002-05,10.698,
2002-06,10.711,
2002-07,10.767,
2002-08,11.176,
2002-09,11.412,
2002-10,11.605,
2002-11,11.492,
2002-12,12.182,
2003-01,11.221,
2003-02,11.268,
2003-03,11.309,
2003-04,11.260,
2003-05,10.900,
2003-06,10.931,
2003-07,11.164,
2003-08,11.163,
2003-09,11.498,
2003-10,11.469,
2003-11,11.470,
2003-12,10.779,
2004-01,10.853,
2004-02,10.849,
2004-03,10.756,
2004-04,10.745,
2004-05,11.100,
2004-06,11.025,
2004-07,11.125,
2004-08,11.207,
2004-09,11.142,
2004-10,11.054,
2004-11,11.086,
2004-12,10.426,
2005-01,10.118,
2005-02,10.102,
2005-03,10.083,
2005-04,10.221,
2005-05,10.113,
2005-06,10.059,
2005-07,10.125,
2005-08,10.149,
2005-09,10.169,
2005-10,7.918,
2005-11,8.999,
2005-12,8.806,
2006-01,10.511,
2006-02,10.690,
2006-03,10.728,
2006-04,10.692,
2006-05,10.768,
2006-06,9.654,
2006-07,9.725,
2006-08,8.678,
2006-09,8.846,
2006-10,8.829,
2006-11,8.806,
2006-12,8.391,
2007-01,8.404,
2007-02,8.356,
2007-03,8.422,
2007-04,8.414,
2007-05,8.430,
2007-06,8.486,
2007-07,9.078,
2007-08,9.077,
2007-09,8.787,
2007-10,8.809,
2007-11,8.855,
2007-12,8.138,
2008-01,8.227,
2008-02,8.535,
2008-03,8.330,
2008-04,8.608,
2008-05,8.507,
2008-06,8.563,
2008-07,8.718,
2008-08,8.919,
2008-09,8.877,
2008-10,8.970,
2008-11,8.718,
2008-12,8.915,
2009-01,9.231,
2009-02,9.118,
2009-03,9.575,
2009-04,9.537,
2009-05,9.553,
2009-06,9.332,
2009-07,9.430,
2009-08,9.679,
2009-09,9.634,
2009-10,9.120,
2009-11,8.991,
2009-12,7.554,
2010-01,7.807,
2010-02,7.879,
2010-03,7.846,
2010-04,7.923,
2010-05,7.857,
2010-06,8.869,
2010-07,9.358,
2010-08,9.615,
2010-09,9.287,
2010-10,9.277,
2010-11,9.539,
2010-12,8.823,
2011-01,9.688,
2011-02,9.681,
2011-03,9.794,
2011-04,10.634,
2011-05,10.796,
2011-06,11.082,
2011-07,11.600,
2011-08,11.639,
2011-09,11.594,
2011-10,11.560,
2011-11,11.704,
2011-12,11.480,
2012-01,11.184,
2012-02,11.277,
2012-03,11.503,
2012-04,11.977,
2012-05,12.060,
2012-06,12.207,
2012-07,12.104,
2012-08,12.509,
2012-09,12.632,
2012-10,12.523,
2012-11,12.492,
2012-12,12.280,
2013-01,12.451,
2013-02,12.575,
2013-03,12.490,
2013-04,12.705,
2013-05,12.708,
2013-06,13.049,
2013-07,13.210,
2013-08,13.226,
2013-09,13.070,
2013-10,13.249,
2013-11,13.276,
2013-12,13.290,
2014-01,13.249,
2014-02,13.248,
2014-03,13.260,
2014-04,13.365,
2014-05,13.679,
2014-06,13.940,
2014-07,14.781,
2014-08,13.677,
2014-09,13.216,
2014-10,12.887,
2014-11,12.722,
2014-12,12.857,
