"",BBFB1.Q.N.DE.ES.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.ES.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Spain,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:59,
1991-01,465.641,
1991-04,354.230,
1991-07,432.415,
1991-10,527.539,
1992-01,1208.539,
1992-04,519.029,
1992-07,433.718,
1992-10,-177.953,
1993-01,122.258,
1993-04,-413.661,
1993-07,-642.093,
1993-10,-560.578,
1994-01,-168.094,
1994-04,-516.724,
1994-07,-559.468,
1994-10,-376.377,
1995-01,0.791,
1995-04,-489.382,
1995-07,-660.174,
1995-10,-755.469,
1996-01,-430.860,
1996-04,-793.728,
1996-07,-636.048,
1996-10,-824.893,
1997-01,-264.090,
1997-04,-583.883,
1997-07,-489.567,
1997-10,-290.151,
1998-01,56.516,
1998-04,-429.494,
1998-07,-436.489,
1998-10,518.594,
1999-01,224.509,
1999-04,-387.772,
1999-07,154.838,
1999-10,510.382,
2000-01,1235.044,
2000-04,515.196,
2000-07,82.678,
2000-10,671.960,
2001-01,1576.874,
2001-04,775.005,
2001-07,1210.124,
2001-10,1635.757,
2002-01,1498.431,
2002-04,2054.428,
2002-07,1519.961,
2002-10,2406.015,
2003-01,2538.579,
2003-04,1640.795,
2003-07,1438.407,
2003-10,3038.149,
2004-01,4693.999,
2004-04,5084.179,
2004-07,4023.118,
2004-10,4736.035,
2005-01,5642.395,
2005-04,5691.538,
2005-07,4894.756,
2005-10,6261.220,
2006-01,6337.248,
2006-04,6062.529,
2006-07,5888.222,
2006-10,7147.718,
2007-01,8170.941,
2007-04,7899.882,
2007-07,7106.123,
2007-10,8444.669,
2008-01,8265.071,
2008-04,7376.042,
2008-07,5797.087,
2008-10,4136.703,
2009-01,3724.221,
2009-04,1846.371,
2009-07,2184.959,
2009-10,3512.617,
2010-01,4338.486,
2010-04,2018.808,
2010-07,2269.382,
2010-10,3593.889,
2011-01,3841.979,
2011-04,2226.297,
2011-07,2461.276,
2011-10,2611.109,
2012-01,2519.132,
2012-04,1307.329,
2012-07,1610.553,
2012-10,2063.502,
2013-01,1560.347,
2013-04,911.361,
2013-07,287.054,
2013-10,925.196,
2014-01,2196.364,Provisional value
2014-04,899.531,Provisional value
2014-07,1075.854,Provisional value
