"",BBK01.SUD107S,BBK01.SUD107S_FLAGS
"","Effective interest rates of German banks / New business (estimated) / Non-financial corporations' deposits, overnight",
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2014-01-30 11:39:54,
2000-01,1.4137,Estimated value
2000-02,1.4577,Estimated value
2000-03,1.5252,Estimated value
2000-04,1.5761,Estimated value
2000-05,1.6510,Estimated value
2000-06,1.7591,Estimated value
2000-07,1.8254,Estimated value
2000-08,1.8317,Estimated value
2000-09,1.9562,Estimated value
2000-10,1.9949,Estimated value
2000-11,2.0586,Estimated value
2000-12,2.0955,Estimated value
2001-01,2.1228,Estimated value
2001-02,2.1931,Estimated value
2001-03,2.1836,Estimated value
2001-04,2.1996,Estimated value
2001-05,2.1616,Estimated value
2001-06,2.1492,Estimated value
2001-07,2.1451,Estimated value
2001-08,2.1313,Estimated value
2001-09,2.0187,Estimated value
2001-10,1.8785,Estimated value
2001-11,1.7554,Estimated value
2001-12,1.7214,Estimated value
2002-01,1.7050,Estimated value
2002-02,1.6704,Estimated value
2002-03,1.6895,Estimated value
2002-04,1.6814,Estimated value
2002-05,1.6642,Estimated value
2002-06,1.6649,Estimated value
2002-07,1.6654,Estimated value
2002-08,1.6389,Estimated value
2002-09,1.6212,Estimated value
2002-10,1.5855,Estimated value
2002-11,1.5948,Estimated value
2002-12,1.4959,Estimated value
