"",BBK01.OEXO04N,BBK01.OEXO04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:21,
2002-01,1.096,
2002-04,-0.040,
2002-07,0.055,
2002-10,2.201,
2003-01,1.329,
2003-04,0.165,
2003-07,0.457,
2003-10,1.337,
2004-01,0.790,
2004-04,0.050,
2004-07,-0.264,
2004-10,0.089,
2005-01,0.232,
2005-04,-0.128,
2005-07,-0.322,
2005-10,-0.053,
2006-01,-0.053,
2006-04,-0.041,
2006-07,-0.059,
2006-10,0.111,
2007-01,0.855,
2007-04,0.479,
2007-07,0.442,
2007-10,0.670,
2008-01,0.348,
2008-04,0.063,
2008-07,0.134,
2008-10,2.146,
2009-01,-0.140,
2009-04,-0.086,
2009-07,0.501,
2009-10,-0.788,
2010-01,-1.129,
2010-04,-0.371,
2010-07,-0.346,
2010-10,0.733,
2011-01,0.447,
2011-04,-0.268,
2011-07,-0.250,
2011-10,-0.469,
2012-01,-0.609,
2012-04,0.002,
2012-07,-0.193,
2012-10,-0.662,
2013-01,-0.739,
2013-04,-0.542,
2013-07,-0.147,
2013-10,-0.052,
2014-01,-0.141,
2014-04,-0.218,
2014-07,0.630,
