"",BBK01.OEGJ05I,BBK01.OEGJ05I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:12,
2002-01,7.591,
2002-04,7.527,
2002-07,7.429,
2002-10,7.114,
2003-01,7.102,
2003-04,6.972,
2003-07,7.028,
2003-10,6.886,
2004-01,7.214,
2004-04,7.239,
2004-07,5.353,
2004-10,5.300,
2005-01,5.366,
2005-04,5.141,
2005-07,4.916,
2005-10,5.504,
2006-01,5.260,
2006-04,5.154,
2006-07,4.971,
2006-10,4.872,
2007-01,4.615,
2007-04,4.656,
2007-07,4.577,
2007-10,4.446,
2008-01,4.448,
2008-04,4.394,
2008-07,4.376,
2008-10,4.063,
2009-01,4.006,
2009-04,3.754,
2009-07,3.489,
2009-10,3.188,
2010-01,2.977,
2010-04,2.864,
2010-07,2.748,
2010-10,2.634,
2011-01,2.533,
2011-04,2.495,
2011-07,2.412,
2011-10,2.352,
2012-01,2.286,
2012-04,2.256,
2012-07,2.246,
2012-10,2.083,
2013-01,2.058,
2013-04,2.005,
2013-07,1.840,
2013-10,1.758,
2014-01,2.564,
2014-04,2.492,
2014-07,2.404,
