"",BBK01.OEBB22Q,BBK01.OEBB22Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:23,
2002-01,0.081,
2002-04,0.078,
2002-07,0.089,
2002-10,0.088,
2003-01,0.384,
2003-04,0.298,
2003-07,0.391,
2003-10,0.095,
2004-01,0.093,
2004-04,0.059,
2004-07,0.074,
2004-10,0.074,
2005-01,0.067,
2005-04,0.083,
2005-07,0.094,
2005-10,0.087,
2006-01,0.081,
2006-04,0.095,
2006-07,0.108,
2006-10,0.088,
2007-01,0.073,
2007-04,0.060,
2007-07,0.063,
2007-10,0.053,
2008-01,0.081,
2008-04,0.090,
2008-07,0.058,
2008-10,0.023,
2009-01,0.030,
2009-04,0.020,
2009-07,0.007,
2009-10,0.007,
2010-01,0.012,
2010-04,0.016,
2010-07,0.014,
2010-10,0.035,
2011-01,0.033,
2011-04,0.032,
2011-07,0.026,
2011-10,0.021,
2012-01,0.020,
2012-04,0.022,
2012-07,0.017,
2012-10,0.014,
2013-01,0.058,
2013-04,0.060,
2013-07,0.051,
2013-10,0.020,
2014-01,0.016,
2014-04,0.063,
2014-07,0.068,
