"",BBK01.OEBB13J,BBK01.OEBB13J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:02,
2002-01,0.926,
2002-04,0.918,
2002-07,0.889,
2002-10,0.883,
2003-01,0.845,
2003-04,0.837,
2003-07,0.828,
2003-10,0.803,
2004-01,0.791,
2004-04,0.786,
2004-07,0.764,
2004-10,0.757,
2005-01,0.757,
2005-04,0.748,
2005-07,0.686,
2005-10,0.665,
2006-01,0.648,
2006-04,0.648,
2006-07,0.646,
2006-10,0.626,
2007-01,0.615,
2007-04,0.611,
2007-07,0.594,
2007-10,0.584,
2008-01,0.587,
2008-04,0.574,
2008-07,0.564,
2008-10,0.555,
2009-01,0.545,
2009-04,0.545,
2009-07,0.535,
2009-10,0.532,
2010-01,0.530,
2010-04,0.524,
2010-07,0.515,
2010-10,0.499,
2011-01,0.501,
2011-04,0.529,
2011-07,0.507,
2011-10,0.468,
2012-01,0.464,
2012-04,0.452,
2012-07,0.449,
2012-10,0.451,
2013-01,0.454,
2013-04,0.447,
2013-07,0.448,
2013-10,0.443,
2014-01,0.445,
2014-04,0.433,
2014-07,0.435,
