"",BBK01.OECB17K,BBK01.OECB17K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:23,
2002-01,2.052,
2002-04,2.032,
2002-07,2.039,
2002-10,2.021,
2003-01,1.979,
2003-04,1.950,
2003-07,1.959,
2003-10,1.961,
2004-01,1.950,
2004-04,1.954,
2004-07,1.931,
2004-10,2.959,
2005-01,2.835,
2005-04,2.862,
2005-07,2.911,
2005-10,2.970,
2006-01,2.943,
2006-04,2.972,
2006-07,3.030,
2006-10,3.037,
2007-01,2.999,
2007-04,3.002,
2007-07,2.970,
2007-10,2.948,
2008-01,2.926,
2008-04,2.948,
2008-07,2.968,
2008-10,2.932,
2009-01,2.890,
2009-04,4.229,
2009-07,4.165,
2009-10,4.108,
2010-01,4.038,
2010-04,3.938,
2010-07,3.854,
2010-10,3.830,
2011-01,3.517,
2011-04,3.642,
2011-07,3.480,
2011-10,3.487,
2012-01,3.510,
2012-04,3.552,
2012-07,3.598,
2012-10,3.677,
2013-01,3.866,
2013-04,3.801,
2013-07,3.828,
2013-10,3.925,
2014-01,4.023,
2014-04,4.112,
2014-07,4.203,
