"",BBK01.OEHB24Q,BBK01.OEHB24Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:54,
2002-01,0.320,
2002-04,0.268,
2002-07,0.275,
2002-10,0.300,
2003-01,0.296,
2003-04,0.296,
2003-07,0.334,
2003-10,0.318,
2004-01,0.308,
2004-04,0.307,
2004-07,0.302,
2004-10,0.305,
2005-01,0.306,
2005-04,0.322,
2005-07,0.322,
2005-10,0.316,
2006-01,0.316,
2006-04,0.309,
2006-07,0.303,
2006-10,0.305,
2007-01,0.300,
2007-04,0.295,
2007-07,0.292,
2007-10,0.289,
2008-01,0.267,
2008-04,0.305,
2008-07,0.333,
2008-10,0.307,
2009-01,0.293,
2009-04,0.287,
2009-07,0.298,
2009-10,0.299,
2010-01,0.306,
2010-04,0.304,
2010-07,0.363,
2010-10,0.363,
2011-01,0.337,
2011-04,0.338,
2011-07,0.338,
2011-10,0.330,
2012-01,0.329,
2012-04,0.315,
2012-07,0.308,
2012-10,0.313,
2013-01,0.301,
2013-04,0.300,
2013-07,0.306,
2013-10,0.312,
2014-01,0.316,
2014-04,0.311,
2014-07,0.302,
