"",BBEE1.M.DE.AAA.XY0AAA.R.AACPB.M00,BBEE1.M.DE.AAA.XY0AAA.R.AACPB.M00_FLAGS
"","Indicator of the German economy's price competitiveness against 25 selected industrial countries, based on consumer price indices",
unit,1Q99=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 14:44:55,
1972-01,109.0,
1972-02,109.7,
1972-03,109.3,
1972-04,109.3,
1972-05,109.1,
1972-06,108.9,
1972-07,110.0,
1972-08,109.1,
1972-09,109.6,
1972-10,109.0,
1972-11,109.5,
1972-12,109.7,
1973-01,109.6,
1973-02,110.7,
1973-03,114.0,
1973-04,114.4,
1973-05,114.6,
1973-06,120.6,
1973-07,128.8,
1973-08,126.3,
1973-09,125.6,
1973-10,125.3,
1973-11,121.5,
1973-12,120.8,
1974-01,118.3,
1974-02,119.4,
1974-03,120.2,
1974-04,121.8,
1974-05,122.8,
1974-06,120.5,
1974-07,117.7,
1974-08,115.6,
1974-09,113.5,
1974-10,114.5,
1974-11,116.1,
1974-12,116.2,
1975-01,117.2,
1975-02,116.8,
1975-03,116.0,
1975-04,114.0,
1975-05,113.8,
1975-06,113.9,
1975-07,111.9,
1975-08,109.3,
1975-09,108.9,
1975-10,109.9,
1975-11,109.0,
1975-12,107.8,
1976-01,107.8,
1976-02,110.6,
1976-03,112.6,
1976-04,114.5,
1976-05,112.6,
1976-06,112.1,
1976-07,111.6,
1976-08,112.9,
1976-09,113.6,
1976-10,115.9,
1976-11,116.2,
1976-12,116.2,
1977-01,115.4,
1977-02,114.3,
1977-03,114.3,
1977-04,114.2,
1977-05,114.2,
1977-06,113.7,
1977-07,116.1,
1977-08,114.6,
1977-09,114.6,
1977-10,114.8,
1977-11,114.9,
1977-12,117.1,
1978-01,116.3,
1978-02,118.0,
1978-03,118.7,
1978-04,117.6,
1978-05,115.5,
1978-06,114.6,
1978-07,112.9,
1978-08,112.6,
1978-09,112.4,
1978-10,116.1,
1978-11,115.4,
1978-12,116.1,
1979-01,116.6,
1979-02,116.2,
1979-03,115.7,
1979-04,114.7,
1979-05,114.0,
1979-06,114.1,
1979-07,114.0,
1979-08,113.5,
1979-09,114.3,
1979-10,114.9,
1979-11,116.0,
1979-12,115.9,
1980-01,113.9,
1980-02,113.4,
1980-03,111.3,
1980-04,109.7,
1980-05,110.3,
1980-06,109.5,
1980-07,109.2,
1980-08,107.7,
1980-09,106.6,
1980-10,104.5,
1980-11,102.7,
1980-12,102.0,
1981-01,100.3,
1981-02,98.4,
1981-03,100.4,
1981-04,100.0,
1981-05,98.3,
1981-06,97.1,
1981-07,96.9,
1981-08,96.2,
1981-09,98.3,
1981-10,101.1,
1981-11,100.5,
1981-12,99.6,
1982-01,99.2,
1982-02,98.5,
1982-03,99.3,
1982-04,99.6,
1982-05,100.7,
1982-06,100.9,
1982-07,101.0,
1982-08,100.6,
1982-09,100.6,
1982-10,101.2,
1982-11,101.5,
1982-12,103.4,
1983-01,103.2,
1983-02,102.7,
1983-03,104.2,
1983-04,103.6,
1983-05,102.6,
1983-06,101.7,
1983-07,101.3,
1983-08,100.5,
1983-09,100.5,
1983-10,101.0,
1983-11,99.4,
1983-12,98.8,
1984-01,97.7,
1984-02,99.1,
1984-03,99.9,
1984-04,99.0,
1984-05,97.7,
1984-06,98.2,
1984-07,97.2,
1984-08,96.3,
1984-09,95.0,
1984-10,95.0,
1984-11,95.4,
1984-12,94.3,
1985-01,94.2,
1985-02,93.4,
1985-03,93.1,
1985-04,93.8,
1985-05,93.1,
1985-06,92.9,
1985-07,93.4,
1985-08,95.0,
1985-09,94.6,
1985-10,95.6,
1985-11,95.7,
1985-12,96.8,
1986-01,97.7,
1986-02,98.4,
1986-03,98.7,
1986-04,98.4,
1986-05,98.4,
1986-06,98.3,
1986-07,99.0,
1986-08,100.5,
1986-09,101.2,
1986-10,102.0,
1986-11,101.9,
1986-12,102.3,
1987-01,104.3,
1987-02,104.5,
1987-03,103.5,
1987-04,103.0,
1987-05,103.0,
1987-06,102.8,
1987-07,102.5,
1987-08,102.0,
1987-09,101.8,
1987-10,101.7,
1987-11,103.4,
1987-12,103.6,
1988-01,103.1,
1988-02,102.4,
1988-03,101.9,
1988-04,101.4,
1988-05,101.0,
1988-06,100.1,
1988-07,99.0,
1988-08,98.2,
1988-09,98.8,
1988-10,98.8,
1988-11,99.2,
1988-12,98.8,
1989-01,97.8,
1989-02,97.5,
1989-03,97.5,
1989-04,97.5,
1989-05,96.7,
1989-06,96.8,
1989-07,97.3,
1989-08,96.5,
1989-09,96.5,
1989-10,98.2,
1989-11,98.8,
1989-12,100.8,
1990-01,101.2,
1990-02,100.8,
1990-03,100.5,
1990-04,100.4,
1990-05,100.0,
1990-06,99.0,
1990-07,98.6,
1990-08,99.3,
1990-09,99.0,
1990-10,99.2,
1990-11,99.9,
1990-12,100.5,
1991-01,99.6,
1991-02,99.9,
1991-03,98.3,
1991-04,96.4,
1991-05,96.3,
1991-06,95.8,
1991-07,96.9,
1991-08,97.2,
1991-09,97.8,
1991-10,97.6,
1991-11,98.8,
1991-12,99.8,
1992-01,99.3,
1992-02,98.9,
1992-03,98.8,
1992-04,99.1,
1992-05,98.8,
1992-06,99.3,
1992-07,101.0,
1992-08,102.1,
1992-09,103.4,
1992-10,105.4,
1992-11,104.1,
1992-12,105.1,
1993-01,105.3,
1993-02,106.0,
1993-03,106.0,
1993-04,105.9,
1993-05,104.9,
1993-06,103.9,
1993-07,103.5,
1993-08,105.1,
1993-09,106.9,
1993-10,107.0,
1993-11,105.5,
1993-12,105.0,
1994-01,103.9,
1994-02,103.5,
1994-03,104.8,
1994-04,104.3,
1994-05,105.1,
1994-06,105.7,
1994-07,106.8,
1994-08,107.4,
1994-09,107.2,
1994-10,107.3,
1994-11,107.2,
1994-12,107.3,
1995-01,108.0,
1995-02,109.0,
1995-03,112.5,
1995-04,112.5,
1995-05,111.0,
1995-06,110.8,
1995-07,111.0,
1995-08,109.3,
1995-09,109.4,
1995-10,110.9,
1995-11,110.4,
1995-12,109.8,
1996-01,108.9,
1996-02,108.8,
1996-03,108.2,
1996-04,107.2,
1996-05,106.0,
1996-06,106.0,
1996-07,106.4,
1996-08,107.3,
1996-09,106.6,
1996-10,105.6,
1996-11,105.5,
1996-12,104.6,
1997-01,103.8,
1997-02,103.2,
1997-03,103.1,
1997-04,102.5,
1997-05,102.2,
1997-06,101.2,
1997-07,99.4,
1997-08,99.4,
1997-09,100.3,
1997-10,100.7,
1997-11,101.0,
1997-12,100.6,
1998-01,100.0,
1998-02,99.7,
1998-03,99.3,
1998-04,99.9,
1998-05,101.2,
1998-06,101.1,
1998-07,101.1,
1998-08,101.6,
1998-09,102.4,
1998-10,102.8,
1998-11,102.0,
1998-12,101.9,
1999-01,101.0,
1999-02,99.8,
1999-03,99.2,
1999-04,99.1,
1999-05,98.7,
1999-06,98.0,
1999-07,98.0,
1999-08,98.1,
1999-09,97.2,
1999-10,97.5,
1999-11,96.4,
1999-12,95.6,
2000-01,95.8,
2000-02,95.0,
2000-03,94.1,
2000-04,93.3,
2000-05,92.3,
2000-06,93.6,
2000-07,93.3,
2000-08,92.2,
2000-09,91.4,
2000-10,90.7,
2000-11,91.0,
2000-12,92.3,
2001-01,93.8,
2001-02,93.7,
2001-03,93.6,
2001-04,93.2,
2001-05,92.6,
2001-06,91.9,
2001-07,92.0,
2001-08,93.2,
2001-09,93.2,
2001-10,93.0,
2001-11,92.5,
2001-12,92.7,
2002-01,93.0,
2002-02,92.7,
2002-03,92.7,
2002-04,92.7,
2002-05,93.2,
2002-06,94.0,
2002-07,94.4,
2002-08,93.9,
2002-09,93.9,
2002-10,93.9,
2002-11,94.0,
2002-12,94.4,
2003-01,95.6,
2003-02,96.2,
2003-03,96.4,
2003-04,96.6,
2003-05,98.1,
2003-06,98.2,
2003-07,97.6,
2003-08,97.0,
2003-09,96.8,
2003-10,97.4,
2003-11,97.2,
2003-12,98.1,
2004-01,99.0,
2004-02,98.7,
2004-03,98.4,
2004-04,98.0,
2004-05,98.1,
2004-06,97.9,
2004-07,98.1,
2004-08,98.3,
2004-09,98.1,
2004-10,98.6,
2004-11,98.7,
2004-12,99.7,
2005-01,99.4,
2005-02,99.2,
2005-03,99.4,
2005-04,99.1,
2005-05,98.6,
2005-06,97.8,
2005-07,98.1,
2005-08,98.2,
2005-09,98.2,
2005-10,98.1,
2005-11,97.9,
2005-12,98.1,
2006-01,98.2,
2006-02,98.1,
2006-03,98.2,
2006-04,98.5,
2006-05,98.8,
2006-06,98.8,
2006-07,98.9,
2006-08,98.7,
2006-09,98.5,
2006-10,98.8,
2006-11,99.2,
2006-12,99.5,
2007-01,99.8,
2007-02,100.0,
2007-03,100.2,
2007-04,100.7,
2007-05,100.8,
2007-06,100.6,
2007-07,101.0,
2007-08,100.6,
2007-09,101.2,
2007-10,101.6,
2007-11,102.4,
2007-12,102.2,
2008-01,102.4,
2008-02,102.3,
2008-03,103.0,
2008-04,103.6,
2008-05,103.3,
2008-06,103.3,
2008-07,103.5,
2008-08,102.6,
2008-09,101.8,
2008-10,100.0,
2008-11,99.9,
2008-12,101.7,
2009-01,101.4,
2009-02,100.6,
2009-03,101.5,
2009-04,101.4,
2009-05,101.5,
2009-06,102.0,
2009-07,101.9,
2009-08,102.0,
2009-09,102.2,
2009-10,102.8,
2009-11,102.4,
2009-12,102.3,
2010-01,101.4,
2010-02,100.2,
2010-03,100.2,
2010-04,99.8,
2010-05,98.3,
2010-06,97.4,
