"",BBFB1.Q.N.DE.US.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.US.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / United States,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:47,
1991-01,4864.828,
1991-04,4679.054,
1991-07,5081.713,
1991-10,5303.498,
1992-01,4888.828,
1992-04,4781.090,
1992-07,5225.655,
1992-10,5427.990,
1993-01,5193.034,
1993-04,5526.213,
1993-07,5377.038,
1993-10,6362.798,
1994-01,6073.203,
1994-04,6666.878,
1994-07,6107.025,
1994-10,7146.192,
1995-01,6312.809,
1995-04,6832.261,
1995-07,6127.759,
1995-10,6994.830,
1996-01,6590.720,
1996-04,7266.705,
1996-07,7331.878,
1996-10,7964.401,
1997-01,8177.710,
1997-04,9235.965,
1997-07,9699.085,
1997-10,10305.566,
1998-01,10368.868,
1998-04,10951.001,
1998-07,10814.278,
1998-10,11650.782,
1999-01,10744.990,
1999-04,12438.617,
1999-07,12600.523,
1999-10,13733.776,
2000-01,13562.156,
2000-04,14157.749,
2000-07,14177.015,
2000-10,15852.208,
2001-01,15916.729,
2001-04,14921.148,
2001-07,15023.146,
2001-10,14443.009,
2002-01,14808.056,
2002-04,14652.141,
2002-07,15964.602,
2002-10,15259.336,
2003-01,13380.617,
2003-04,13598.737,
2003-07,13748.865,
2003-10,13490.731,
2004-01,13921.500,
2004-04,15229.433,
2004-07,14546.534,
2004-10,14938.793,
2005-01,14195.347,
2005-04,16127.006,
2005-07,16144.490,
2005-10,16616.356,
2006-01,17466.646,
2006-04,16409.317,
2006-07,17362.861,
2006-10,19118.240,
2007-01,16881.499,
2007-04,15505.336,
2007-07,16860.587,
2007-10,16395.844,
2008-01,16637.045,
2008-04,16570.071,
2008-07,16229.075,
2008-10,14262.591,
2009-01,12271.688,
2009-04,12470.519,
2009-07,11772.852,
2009-10,12446.253,
2010-01,13144.911,
2010-04,15434.302,
2010-07,15815.564,
2010-10,15600.970,
2011-01,15523.240,
2011-04,15997.655,
2011-07,17662.782,
2011-10,19021.596,
2012-01,20479.775,
2012-04,19142.268,
2012-07,22678.961,
2012-10,20252.720,
2013-01,20983.495,
2013-04,21406.810,
2013-07,22228.865,
2013-10,22622.663,
2014-01,21839.257,Provisional value
2014-04,21920.245,Provisional value
2014-07,24543.817,Provisional value
