"",BBK01.OEYJ10Q,BBK01.OEYJ10Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:06:31,
2002-01,0.187,
2002-04,0.153,
2002-07,0.185,
2002-10,0.150,
2003-01,0.184,
2003-04,0.147,
2003-07,0.182,
2003-10,0.138,
2004-01,0.107,
2004-04,0.051,
2004-07,0.049,
2004-10,0.044,
2005-01,0.032,
2005-04,0.026,
2005-07,0.025,
2005-10,0.014,
2006-01,0.027,
2006-04,0.025,
2006-07,0.024,
2006-10,0.011,
2007-01,0.056,
2007-04,0.042,
2007-07,0.039,
2007-10,0.036,
2008-01,0.042,
2008-04,0.038,
2008-07,0.036,
2008-10,0.044,
2009-01,0.054,
2009-04,0.044,
2009-07,0.031,
2009-10,0.034,
2010-01,0.029,
2010-04,0.029,
2010-07,0.022,
2010-10,0.021,
2011-01,0.021,
2011-04,0.020,
2011-07,0.016,
2011-10,0.016,
2012-01,0.015,
2012-04,0.014,
2012-07,0.014,
2012-10,0.013,
2013-01,0.012,
2013-04,0.012,
2013-07,0.011,
2013-10,0.010,
2014-01,0.010,
2014-04,0.009,
2014-07,0.009,
