"",BBK01.OEAH19S,BBK01.OEAH19S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:14,
2002-01,4.080,
2002-04,4.125,
2002-07,4.143,
2002-10,4.423,
2003-01,4.512,
2003-04,4.564,
2003-07,4.579,
2003-10,4.831,
2004-01,4.906,
2004-04,4.949,
2004-07,4.970,
2004-10,3.754,
2005-01,3.950,
2005-04,4.014,
2005-07,4.037,
2005-10,4.204,
2006-01,4.282,
2006-04,4.327,
2006-07,4.318,
2006-10,4.454,
2007-01,4.474,
2007-04,4.472,
2007-07,4.469,
2007-10,4.593,
2008-01,4.603,
2008-04,4.557,
2008-07,4.502,
2008-10,4.520,
2009-01,4.508,
2009-04,4.488,
2009-07,4.559,
2009-10,4.782,
2010-01,4.845,
2010-04,4.847,
2010-07,4.866,
2010-10,4.958,
2011-01,4.964,
2011-04,4.917,
2011-07,4.909,
2011-10,5.114,
2012-01,5.228,
2012-04,5.287,
2012-07,5.340,
2012-10,5.322,
2013-01,5.403,
2013-04,5.634,
2013-07,5.723,
2013-10,5.790,
2014-01,5.909,
2014-04,5.989,
2014-07,6.068,
