"",BBK01.OEXM03L,BBK01.OEXM03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:42,
2002-01,3.900,
2002-04,4.189,
2002-07,4.547,
2002-10,4.133,
2003-01,4.318,
2003-04,4.890,
2003-07,3.419,
2003-10,3.188,
2004-01,4.575,
2004-04,4.379,
2004-07,3.582,
2004-10,3.243,
2005-01,3.730,
2005-04,5.360,
2005-07,7.622,
2005-10,5.048,
2006-01,6.592,
2006-04,6.690,
2006-07,7.076,
2006-10,5.930,
2007-01,7.900,
2007-04,11.708,
2007-07,8.891,
2007-10,10.606,
2008-01,10.975,
2008-04,13.326,
2008-07,13.725,
2008-10,9.600,
2009-01,9.020,
2009-04,13.914,
2009-07,8.028,
2009-10,8.170,
2010-01,7.523,
2010-04,8.305,
2010-07,7.722,
2010-10,8.396,
2011-01,9.132,
2011-04,9.775,
2011-07,9.602,
2011-10,11.063,
2012-01,10.388,
2012-04,12.748,
2012-07,10.657,
2012-10,11.371,
2013-01,9.066,
2013-04,9.223,
2013-07,8.360,
2013-10,9.288,
2014-01,9.478,
2014-04,9.481,
2014-07,10.058,
