"",BBFB1.M.N.DE.W1.S1.S1.T.AD.FA.P.F._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.AD.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Sales / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:32,
1991-01,9517.363,
1991-02,12093.288,
1991-03,12506.643,
1991-04,12781.488,
1991-05,12786.444,
1991-06,11339.583,
1991-07,12943.565,
1991-08,12832.697,
1991-09,11970.663,
1991-10,15725.799,
1991-11,13452.995,
1991-12,16202.233,
1992-01,21548.534,
1992-02,22426.701,
1992-03,20536.274,
1992-04,16684.150,
1992-05,15295.134,
1992-06,17812.076,
1992-07,18123.437,
1992-08,14558.491,
1992-09,21626.524,
1992-10,22246.573,
1992-11,21304.833,
1992-12,22172.673,
1993-01,21436.413,
1993-02,30004.535,
1993-03,34691.915,
1993-04,26371.866,
1993-05,22639.634,
1993-06,25945.650,
1993-07,31414.440,
1993-08,29541.718,
1993-09,29891.567,
1993-10,33627.302,
1993-11,35583.943,
1993-12,40815.179,
1994-01,38831.848,
1994-02,32021.533,
1994-03,32425.893,
1994-04,21395.798,
1994-05,19713.194,
1994-06,24195.020,
1994-07,20686.768,
1994-08,19041.059,
1994-09,20522.939,
1994-10,21725.901,
1994-11,21051.453,
1994-12,25726.766,
1995-01,28286.988,
1995-02,25610.999,
1995-03,29849.139,
1995-04,24343.868,
1995-05,30460.997,
1995-06,31416.480,
1995-07,33008.855,
1995-08,32448.093,
1995-09,34804.782,
1995-10,29581.736,
1995-11,40200.033,
1995-12,34460.568,
1996-01,43532.863,
1996-02,45996.858,
1996-03,41998.465,
1996-04,40012.270,
1996-05,44337.699,
1996-06,34750.975,
1996-07,46829.261,
1996-08,36748.602,
1996-09,38496.539,
1996-10,50526.527,
1996-11,39303.371,
1996-12,40929.840,
1997-01,55929.657,
1997-02,51983.140,
1997-03,53714.679,
1997-04,57568.679,
1997-05,54502.398,
1997-06,61004.085,
1997-07,72300.329,
1997-08,64725.360,
1997-09,63084.925,
1997-10,72415.066,
1997-11,59920.831,
1997-12,64273.873,
1998-01,71536.395,
1998-02,85708.877,
1998-03,92308.508,
1998-04,88463.081,
1998-05,91940.939,
1998-06,114913.416,
1998-07,94350.745,
1998-08,102018.374,
1998-09,99118.895,
1998-10,99954.194,
1998-11,91945.122,
1998-12,102674.877,
1999-01,104848.520,
1999-02,96241.555,
1999-03,121187.794,
1999-04,115338.595,
1999-05,129899.216,
1999-06,135433.115,
1999-07,130586.038,
1999-08,103768.347,
1999-09,116183.409,
1999-10,110371.635,
1999-11,145814.461,
1999-12,138249.772,
2000-01,145926.067,
2000-02,282523.066,
2000-03,205044.857,
2000-04,150511.741,
2000-05,177239.551,
2000-06,157043.004,
2000-07,138065.212,
2000-08,161907.719,
2000-09,176428.464,
2000-10,173937.385,
2000-11,187008.050,
2000-12,184734.107,
2001-01,231767.452,
2001-02,211682.340,
2001-03,249231.834,
2001-04,193011.152,
2001-05,235225.131,
2001-06,223828.978,
2001-07,196381.255,
2001-08,187390.711,
2001-09,192636.569,
2001-10,217927.956,
2001-11,254142.017,
2001-12,173080.047,
2002-01,227976.712,
2002-02,193469.020,
2002-03,216910.675,
2002-04,199893.780,
2002-05,181888.591,
2002-06,179367.653,
2002-07,220870.152,
2002-08,190257.258,
2002-09,210340.008,
2002-10,238146.249,
2002-11,197272.591,
2002-12,180233.118,
2003-01,225873.922,
2003-02,188717.825,
2003-03,240701.443,
2003-04,207228.149,
2003-05,216715.470,
2003-06,220725.328,
2003-07,265598.668,
2003-08,207267.602,
2003-09,231117.975,
2003-10,220935.155,
2003-11,184925.526,
2003-12,177209.412,
2004-01,232839.355,
2004-02,217077.367,
2004-03,270131.139,
2004-04,255262.230,
2004-05,228684.345,
2004-06,212314.335,
2004-07,199712.372,
2004-08,201710.163,
2004-09,230056.009,
2004-10,230227.713,
2004-11,250656.342,
2004-12,249177.129,
2005-01,250264.025,
2005-02,239867.774,
2005-03,252179.271,
2005-04,231022.434,
2005-05,240500.779,
2005-06,283461.091,
2005-07,218687.847,
2005-08,203014.946,
2005-09,244632.532,
2005-10,254769.236,
2005-11,256585.876,
2005-12,256260.509,
2006-01,256513.122,
2006-02,252384.015,
2006-03,294555.284,
2006-04,228600.643,
2006-05,275951.759,
2006-06,264299.690,
2006-07,218621.876,
2006-08,223696.011,
2006-09,250419.556,
2006-10,247239.204,
2006-11,249313.407,
2006-12,247027.081,
2007-01,262438.044,
2007-02,255019.305,
2007-03,343256.266,
2007-04,266321.573,
2007-05,271862.363,
2007-06,322361.352,
2007-07,272690.866,
2007-08,274031.057,
2007-09,261859.877,
2007-10,263005.577,
2007-11,270794.232,
2007-12,260552.109,
2008-01,305464.228,
2008-02,260186.742,
2008-03,260227.268,
2008-04,256429.395,
2008-05,246378.723,
2008-06,247306.221,
2008-07,229041.740,
2008-08,178257.482,
2008-09,254355.755,
2008-10,277176.237,
2008-11,185731.561,
2008-12,200743.122,
2009-01,170408.628,
2009-02,188146.755,
2009-03,196468.766,
2009-04,188845.883,
2009-05,194185.582,
2009-06,184736.796,
2009-07,214035.498,
2009-08,179713.914,
2009-09,210751.776,
2009-10,209768.649,
2009-11,191024.797,
2009-12,208816.298,
2010-01,216515.473,
2010-02,227933.232,
2010-03,262583.509,
2010-04,257705.389,
2010-05,280093.946,
2010-06,241035.831,
2010-07,200894.068,
2010-08,187699.069,
2010-09,246661.190,
2010-10,202082.405,
2010-11,239560.453,
2010-12,203661.104,
2011-01,230502.821,
2011-02,240764.344,
2011-03,293124.366,
2011-04,222882.339,
2011-05,245167.192,
2011-06,254671.806,
2011-07,214931.270,
2011-08,239746.016,
2011-09,261516.239,
2011-10,197581.814,
2011-11,221363.640,
2011-12,209535.289,
2012-01,213773.472,
2012-02,241083.221,
2012-03,324131.157,
2012-04,285556.463,
2012-05,255660.944,
2012-06,239031.043,
2012-07,298861.340,
2012-08,203300.205,
2012-09,234820.358,
2012-10,241533.571,
2012-11,213609.789,
2012-12,297942.249,
2013-01,272802.172,
2013-02,255194.976,
2013-03,270816.399,
2013-04,277639.579,
2013-05,278712.623,
2013-06,264123.828,
2013-07,250878.314,
2013-08,203562.001,
2013-09,278049.711,
2013-10,297644.136,
2013-11,263229.295,
2013-12,243914.220,
2014-01,312502.681,
2014-02,304665.843,Provisional value
2014-03,335107.380,Provisional value
2014-04,303906.203,Provisional value
2014-05,314191.405,Provisional value
2014-06,266220.028,Provisional value
2014-07,268179.575,Provisional value
2014-08,223503.114,Provisional value
2014-09,290149.850,
2014-10,280876.511,
2014-11,238992.498,
2014-12,231826.957,Provisional value
