"",BBK01.OEAB23L,BBK01.OEAB23L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:14,
2002-01,7.537,
2002-04,7.731,
2002-07,8.066,
2002-10,9.846,
2003-01,9.848,
2003-04,9.769,
2003-07,10.226,
2003-10,10.217,
2004-01,11.135,
2004-04,11.090,
2004-07,11.227,
2004-10,11.527,
2005-01,10.465,
2005-04,10.723,
2005-07,10.558,
2005-10,10.019,
2006-01,8.819,
2006-04,8.480,
2006-07,7.946,
2006-10,8.181,
2007-01,8.213,
2007-04,7.248,
2007-07,8.308,
2007-10,8.385,
2008-01,8.767,
2008-04,7.977,
2008-07,10.007,
2008-10,8.917,
2009-01,7.867,
2009-04,6.983,
2009-07,4.368,
2009-10,3.632,
2010-01,2.806,
2010-04,2.867,
2010-07,2.837,
2010-10,2.996,
2011-01,2.814,
2011-04,3.337,
2011-07,3.345,
2011-10,3.358,
2012-01,3.375,
2012-04,3.323,
2012-07,3.619,
2012-10,4.596,
2013-01,4.818,
2013-04,5.332,
2013-07,6.268,
2013-10,5.343,
2014-01,5.403,
2014-04,5.482,
2014-07,5.125,
