"",BBK01.OEHB21U,BBK01.OEHB21U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:39,
2002-01,1.302,
2002-04,1.300,
2002-07,1.322,
2002-10,1.469,
2003-01,1.528,
2003-04,1.535,
2003-07,1.429,
2003-10,1.395,
2004-01,1.396,
2004-04,1.379,
2004-07,1.354,
2004-10,1.421,
2005-01,1.409,
2005-04,1.417,
2005-07,1.414,
2005-10,1.425,
2006-01,1.440,
2006-04,1.516,
2006-07,1.545,
2006-10,1.527,
2007-01,1.498,
2007-04,1.505,
2007-07,1.437,
2007-10,1.464,
2008-01,1.450,
2008-04,1.477,
2008-07,1.447,
2008-10,1.483,
2009-01,1.484,
2009-04,1.529,
2009-07,1.540,
2009-10,1.592,
2010-01,1.569,
2010-04,1.648,
2010-07,1.632,
2010-10,1.656,
2011-01,1.676,
2011-04,1.655,
2011-07,1.624,
2011-10,1.632,
2012-01,1.641,
2012-04,1.649,
2012-07,1.597,
2012-10,1.623,
2013-01,1.619,
2013-04,1.627,
2013-07,1.695,
2013-10,1.704,
2014-01,1.826,
2014-04,1.764,
2014-07,1.792,
