"",BBEX3.M.RON.EUR.CA.AC.A01,BBEX3.M.RON.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Romania / EUR 1 = RON ... (middle),
unit,RON (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:24,
2005-07,3.5237,
2005-08,3.5111,
2005-09,3.5586,
2005-10,3.6503,
2005-11,3.6549,
2005-12,3.6771,
2006-01,3.6151,
2006-02,3.4814,
2006-03,3.5210,
2006-04,3.4743,
2006-05,3.5386,
2006-06,3.5686,
2006-07,3.5458,
2006-08,3.5302,
2006-09,3.5334,
2006-10,3.5211,
2006-11,3.4344,
2006-12,3.3817,
2007-01,3.4084,
2007-02,3.3961,
2007-03,3.3548,
2007-04,3.3272,
2007-05,3.2724,
2007-06,3.1340,
2007-07,3.1582,
2007-08,3.2719,
2007-09,3.3559,
2007-10,3.3360,
2007-11,3.4973,
2007-12,3.6102,
2008-01,3.7011,
2008-02,3.7269,
2008-03,3.7276,
2008-04,3.6759,
2008-05,3.6213,
2008-06,3.6475,
2008-07,3.5366,
2008-08,3.5330,
2008-09,3.7336,
2008-10,3.6610,
2008-11,3.7794,
2008-12,3.9852,
2009-01,4.2775,
2009-02,4.2909,
2009-03,4.2348,
2009-04,4.1835,
2009-05,4.1786,
2009-06,4.2067,
2009-07,4.2127,
2009-08,4.2231,
2009-09,4.1981,
2009-10,4.2955,
2009-11,4.2738,
2009-12,4.2282,
2010-01,4.1220,
2010-02,4.1073,
2010-03,4.0958,
2010-04,4.1276,
2010-05,4.1792,
2010-06,4.3688,
2010-07,4.2471,
2010-08,4.2597,
2010-09,4.2674,
2010-10,4.2664,
2010-11,4.2842,
2010-12,4.2848,
2011-01,4.2549,
2011-02,4.2150,
2011-03,4.1141,
2011-04,4.0744,
2011-05,4.1208,
2011-06,4.2341,
2011-07,4.2403,
2011-08,4.2228,
2011-09,4.3533,
2011-10,4.3243,
2011-11,4.3539,
2011-12,4.3197,
2012-01,4.3433,
2012-02,4.3486,
2012-03,4.3791,
2012-04,4.3970,
2012-05,4.4652,
2012-06,4.4494,
2012-07,4.5694,
2012-08,4.4595,
2012-09,4.5331,
2012-10,4.5358,
2012-11,4.5059,
2012-12,4.4287,
2013-01,4.3828,
2013-02,4.3698,
2013-03,4.4154,
2013-04,4.3237,
2013-05,4.3794,
2013-06,4.4588,
2013-07,4.4048,
2013-08,4.4367,
2013-09,4.4604,
2013-10,4.4306,
2013-11,4.4412,
2013-12,4.4847,
2014-01,4.4978,
2014-02,4.4995,
2014-03,4.4553,
2014-04,4.4503,
2014-05,4.3986,
2014-06,4.3870,
2014-07,4.4188,
2014-08,4.4126,
2014-09,4.4114,
2014-10,4.4139,
2014-11,4.4247,
2014-12,4.4821,
2015-01,4.4424,
"","General: Currency conversion with effect from 1 July 2005: ROL (lei / singular: leu) 10,000 = RON 1 ((new) leu).",
"","Source: Banca Nationala a Romaniei, Bucharest",
