"",BBFB1.Q.N.DE.A2.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A2.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / North American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:25,
1991-01,5417.806,
1991-04,5200.227,
1991-07,5698.604,
1991-10,5819.607,
1992-01,5414.414,
1992-04,5255.033,
1992-07,5746.226,
1992-10,5908.892,
1993-01,5674.550,
1993-04,5867.957,
1993-07,5836.848,
1993-10,6873.792,
1994-01,6546.161,
1994-04,7217.927,
1994-07,6616.910,
1994-10,7679.376,
1995-01,6823.181,
1995-04,7324.009,
1995-07,6555.511,
1995-10,7466.588,
1996-01,7009.923,
1996-04,7694.863,
1996-07,7834.020,
1996-10,8449.754,
1997-01,8807.600,
1997-04,9938.699,
1997-07,10591.123,
1997-10,11184.492,
1998-01,11290.216,
1998-04,11951.212,
1998-07,11668.936,
1998-10,12383.360,
1999-01,11413.532,
1999-04,13294.115,
1999-07,13317.411,
1999-10,14562.999,
2000-01,14518.717,
2000-04,15134.500,
2000-07,15065.633,
2000-10,16635.985,
2001-01,16862.720,
2001-04,15978.762,
2001-07,15975.332,
2001-10,16183.965,
2002-01,15896.593,
2002-04,15977.317,
2002-07,17345.209,
2002-10,16435.194,
2003-01,14614.525,
2003-04,14621.279,
2003-07,14800.185,
2003-10,14379.274,
2004-01,14901.485,
2004-04,16328.157,
2004-07,15619.442,
2004-10,16042.167,
2005-01,15290.643,
2005-04,17400.792,
2005-07,17389.196,
2005-10,17903.317,
2006-01,18925.033,
2006-04,17891.570,
2006-07,18793.540,
2006-10,20646.097,
2007-01,18545.085,
2007-04,16991.950,
2007-07,18495.506,
2007-10,17964.447,
2008-01,18279.517,
2008-04,18113.442,
2008-07,17607.522,
2008-10,15827.630,
2009-01,13627.689,
2009-04,13748.512,
2009-07,13003.334,
2009-10,13768.188,
2010-01,14659.277,
2010-04,17091.615,
2010-07,17473.408,
2010-10,17116.585,
2011-01,17301.013,
2011-04,17720.045,
2011-07,19642.788,
2011-10,20879.713,
2012-01,22705.633,
2012-04,21473.379,
2012-07,25156.054,
2012-10,22236.032,
2013-01,23378.970,
2013-04,24023.888,
2013-07,24813.795,
2013-10,24724.567,
2014-01,24297.552,Provisional value
2014-04,24548.168,Provisional value
2014-07,27223.316,Provisional value
