"",BBK01.OEAC60M,BBK01.OEAC60M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:56:10,
2002-01,5.103,
2002-04,5.119,
2002-07,5.089,
2002-10,5.099,
2003-01,5.467,
2003-04,5.459,
2003-07,5.465,
2003-10,5.438,
2004-01,5.389,
2004-04,5.373,
2004-07,5.365,
2004-10,5.290,
2005-01,5.235,
2005-04,5.216,
2005-07,5.225,
2005-10,5.254,
2006-01,5.193,
2006-04,5.181,
2006-07,5.136,
2006-10,5.106,
2007-01,4.918,
2007-04,4.895,
2007-07,4.880,
2007-10,4.898,
2008-01,4.853,
2008-04,4.918,
2008-07,4.951,
2008-10,4.988,
2009-01,4.931,
2009-04,4.929,
2009-07,4.917,
2009-10,4.896,
2010-01,4.777,
2010-04,4.846,
2010-07,4.972,
2010-10,4.917,
2011-01,4.891,
2011-04,4.836,
2011-07,4.856,
2011-10,4.806,
2012-01,4.769,
2012-04,4.757,
2012-07,4.774,
2012-10,4.748,
2013-01,4.684,
2013-04,4.691,
2013-07,4.688,
2013-10,4.680,
2014-01,4.554,
2014-04,4.549,
2014-07,4.529,
