"",BBSF2.M.1.P.00000.AKT01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.AKT01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Equity funds / Securities total,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:08,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,9260,
1993-05,9607,
1993-06,10003,
1993-07,10891,
1993-08,11666,
1993-09,11651,
1993-10,13326,
1993-11,13716,
1993-12,15927,
1994-01,17224,
1994-02,17522,
1994-03,18218,
1994-04,19502,
1994-05,18953,
1994-06,18655,
1994-07,19543,
1994-08,20307,
1994-09,18941,
1994-10,19371,
1994-11,19157,
1994-12,19666,
1995-01,18837,
1995-02,19132,
1995-03,17909,
1995-04,18638,
1995-05,19293,
1995-06,19260,
1995-07,20277,
1995-08,20504,
1995-09,19957,
1995-10,19593,
1995-11,20366,
1995-12,20865,
1996-01,22492,
1996-02,22183,
1996-03,22244,
1996-04,22552,
1996-05,22824,
1996-06,23252,
1996-07,21967,
1996-08,22885,
1996-09,23943,
1996-10,23796,
1996-11,25768,
1996-12,25925,
1997-01,28175,
1997-02,31428,
1997-03,33487,
1997-04,34999,
1997-05,37315,
1997-06,41094,
1997-07,47458,
1997-08,42447,
1997-09,44749,
1997-10,41077,
1997-11,42945,
1997-12,44719,
1998-01,47256,
1998-02,50688,
1998-03,55230,
1998-04,56331,
1998-05,60056,
1998-06,63581,
1998-07,65863,
1998-08,56211,
1998-09,52275,
1998-10,55041,
1998-11,63319,
1998-12,63697,
1999-01,68118,
1999-02,68277,
1999-03,72264,
1999-04,78092,
1999-05,75135,
1999-06,82215,
1999-07,80989,
1999-08,84779,
1999-09,83375,
1999-10,90136,
1999-11,103045,
1999-12,119230,
2000-01,122240,
2000-02,139672,
2000-03,140213,
2000-04,139251,
2000-05,133311,
2000-06,138110,
2000-07,140380,
2000-08,153781,
2000-09,148863,
2000-10,147904,
2000-11,134526,
2000-12,130564,
2001-01,136865,
2001-02,123849,
2001-03,114154,
2001-04,123774,
2001-05,126104,
2001-06,122211,
2001-07,114878,
2001-08,103478,
2001-09,88100,
2001-10,93270,
2001-11,104293,
2001-12,108007,
2002-01,105764,
2002-02,103330,
2002-03,108970,
2002-04,99924,
2002-05,97870,
2002-06,86690,
2002-07,79257,
2002-08,78071,
2002-09,66090,
2002-10,72821,
2002-11,77770,
2002-12,69183,
2003-01,64627,
2003-02,61839,
2003-03,60726,
2003-04,67309,
2003-05,67894,
2003-06,74010,
2003-07,76905,
2003-08,81136,
2003-09,76040,
2003-10,82190,
2003-11,82012,
2003-12,84538,
2004-01,88585,
2004-02,89399,
2004-03,88272,
2004-04,88178,
2004-05,84973,
2004-06,87562,
2004-07,83485,
2004-08,82271,
2004-09,83193,
2004-10,83436,
2004-11,86020,
2004-12,88385,
2005-01,88292,
2005-02,90934,
2005-03,89820,
2005-04,85650,
2005-05,89913,
2005-06,93875,
2005-07,99593,
2005-08,98574,
2005-09,103422,
2005-10,100037,
2005-11,107245,
2005-12,111383,
2006-01,115512,
2006-02,119653,
2006-03,120857,
2006-04,120070,
2006-05,110626,
2006-06,109612,
2006-07,109105,
2006-08,110949,
2006-09,112910,
2006-10,116687,
2006-11,115479,
2006-12,118873,
2007-01,120005,
2007-02,118396,
2007-03,119115,
2007-04,123737,
2007-05,127472,
2007-06,125693,
2007-07,120939,
2007-08,117427,
2007-09,119688,
2007-10,123002,
2007-11,116404,
2007-12,117029,
2008-01,100032,
2008-02,99345,
2008-03,94525,
2008-04,104774,
2008-05,107779,
2008-06,93371,
2008-07,91732,
2008-08,92537,
2008-09,79661,
2008-10,65671,
2008-11,62572,
2008-12,63021,
2009-01,65104,
2009-02,57889,
2009-03,58159,
2009-04,69121,
2009-05,73505,
2009-06,72619,
2009-07,80340,
2009-08,83466,
2009-09,86729,
2009-10,85086,
2009-11,85973,
2009-12,92286,
2010-01,87971,
2010-02,89425,
2010-03,96593,
2010-04,95674,
2010-05,96646,
2010-06,90444,
2010-07,92266,
2010-08,89772,
2010-09,94035,
2010-10,98785,
2010-11,101406,
2010-12,108748,
2011-01,108495,
2011-02,109935,
2011-03,107378,
2011-04,109829,
2011-05,109721,
2011-06,107830,
2011-07,108802,
2011-08,92239,
2011-09,87686,
2011-10,95913,
2011-11,93071,
2011-12,94654,
2012-01,100859,
2012-02,104505,
2012-03,104232,
2012-04,98258,
2012-05,94730,
2012-06,96589,
2012-07,102761,
2012-08,104005,
2012-09,105971,
2012-10,105333,
2012-11,107119,
2012-12,109838,
2013-01,112336,
2013-02,114281,
2013-03,116358,
2013-04,116501,
2013-05,119966,
2013-06,114777,
2013-07,119266,
2013-08,117648,
2013-09,122573,
2013-10,127780,
2013-11,130919,
2013-12,132419,
2014-01,128590,
2014-02,133705,
2014-03,132257,
2014-04,132263,
2014-05,136826,
2014-06,137357,
2014-07,134397,
2014-08,137836,
2014-09,135274,
2014-10,133419,
2014-11,138304,
