"",BBK01.SUD110S,BBK01.SUD110S_FLAGS
"",Effective interest rates of German banks / New business (estimated) / Non-financial corporations' deposits with an agreed maturity of over 2 years,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2014-01-30 11:39:56,
2000-01,5.8803,Estimated value
2000-02,5.9970,Estimated value
2000-03,5.9614,Estimated value
2000-04,5.9592,Estimated value
2000-05,6.3649,Estimated value
2000-06,6.3677,Estimated value
2000-07,6.4955,Estimated value
2000-08,6.5645,Estimated value
2000-09,6.5075,Estimated value
2000-10,6.4182,Estimated value
2000-11,6.3477,Estimated value
2000-12,5.9560,Estimated value
2001-01,5.7506,Estimated value
2001-02,5.7592,Estimated value
2001-03,5.6045,Estimated value
2001-04,5.6689,Estimated value
2001-05,5.7643,Estimated value
2001-06,5.6105,Estimated value
2001-07,5.5991,Estimated value
2001-08,5.3809,Estimated value
2001-09,5.1282,Estimated value
2001-10,4.8275,Estimated value
2001-11,4.7565,Estimated value
2001-12,5.1309,Estimated value
2002-01,5.2517,Estimated value
2002-02,5.3742,Estimated value
2002-03,5.6748,Estimated value
2002-04,5.6628,Estimated value
2002-05,5.6889,Estimated value
2002-06,5.5216,Estimated value
2002-07,5.2831,Estimated value
2002-08,4.9902,Estimated value
2002-09,4.6997,Estimated value
2002-10,4.6551,Estimated value
2002-11,4.5655,Estimated value
2002-12,4.3516,Estimated value
