"",BBFB1.Q.N.DE.GR.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.GR.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Greece,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:33,
1991-01,-0.109,
1991-04,-0.109,
1991-07,-0.109,
1991-10,-0.109,
1992-01,0.186,
1992-04,0.186,
1992-07,0.186,
1992-10,0.186,
1993-01,-0.601,
1993-04,-0.601,
1993-07,-0.601,
1993-10,-0.601,
1994-01,-0.074,
1994-04,-0.074,
1994-07,-0.074,
1994-10,-0.074,
1995-01,0.107,
1995-04,0.107,
1995-07,0.107,
1995-10,0.107,
1996-01,0.089,
1996-04,0.089,
1996-07,0.089,
1996-10,0.089,
1997-01,-,Nothing exists
1997-04,-,Nothing exists
1997-07,-,Nothing exists
1997-10,-,Nothing exists
1998-01,-,Nothing exists
1998-04,-,Nothing exists
1998-07,-,Nothing exists
1998-10,-,Nothing exists
1999-01,-,Nothing exists
1999-04,-,Nothing exists
1999-07,-,Nothing exists
1999-10,-,Nothing exists
2000-01,-1.000,
2000-04,-3.000,
2000-07,-2.000,
2000-10,-,Nothing exists
2001-01,-3.942,
2001-04,-4.956,
2001-07,-4.956,
2001-10,-3.942,
2002-01,-4.935,
2002-04,-4.725,
2002-07,-5.112,
2002-10,-5.897,
2003-01,-2.086,
2003-04,-2.498,
2003-07,-2.711,
2003-10,-3.127,
2004-01,0.001,
2004-04,0.001,
2004-07,0.000,
2004-10,-0.002,
2005-01,-0.241,
2005-04,-0.237,
2005-07,-1.255,
2005-10,-1.264,
2006-01,-0.418,
2006-04,-0.451,
2006-07,-1.516,
2006-10,-0.614,
2007-01,2.878,
2007-04,-1.373,
2007-07,0.127,
2007-10,-3.623,
2008-01,-10.053,
2008-04,2.147,
2008-07,3.978,
2008-10,-2.883,
2009-01,0.027,
2009-04,0.216,
2009-07,0.595,
2009-10,1.164,
2010-01,-2.780,
2010-04,-2.250,
2010-07,-2.486,
2010-10,-2.487,
2011-01,2.712,
2011-04,2.655,
2011-07,2.721,
2011-10,2.913,
2012-01,3.231,
2012-04,3.406,
2012-07,3.436,
2012-10,-11.677,
2013-01,2.460,
2013-04,2.319,
2013-07,-55.760,
2013-10,2.223,
2014-01,2.269,Provisional value
2014-04,-27.695,Provisional value
2014-07,-27.672,Provisional value
2014-10,2.339,Provisional value
