"",BBFB1.Q.N.DE.CH.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CH.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Switzerland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:47,
1991-01,-778.345,
1991-04,-721.340,
1991-07,-727.877,
1991-10,-751.336,
1992-01,-765.617,
1992-04,-639.545,
1992-07,-750.605,
1992-10,-801.305,
1993-01,-741.239,
1993-04,-647.943,
1993-07,-728.737,
1993-10,-692.477,
1994-01,-794.145,
1994-04,-728.242,
1994-07,-778.519,
1994-10,-769.612,
1995-01,-698.462,
1995-04,-576.672,
1995-07,-612.508,
1995-10,-541.495,
1996-01,-730.035,
1996-04,-474.299,
1996-07,-559.922,
1996-10,-900.559,
1997-01,-860.670,
1997-04,-423.200,
1997-07,-597.797,
1997-10,-469.209,
1998-01,-537.119,
1998-04,-610.278,
1998-07,-512.477,
1998-10,-478.764,
1999-01,-661.784,
1999-04,-623.647,
1999-07,-849.861,
1999-10,-666.213,
2000-01,-642.223,
2000-04,-409.061,
2000-07,-565.574,
2000-10,-596.691,
2001-01,-730.864,
2001-04,-529.802,
2001-07,-513.153,
2001-10,-380.083,
2002-01,-689.264,
2002-04,-152.842,
2002-07,-406.559,
2002-10,-339.001,
2003-01,-167.923,
2003-04,109.173,
2003-07,264.675,
2003-10,932.598,
2004-01,402.704,
2004-04,651.991,
2004-07,671.371,
2004-10,1284.254,
2005-01,107.038,
2005-04,414.865,
2005-07,199.325,
2005-10,98.018,
2006-01,-87.169,
2006-04,898.262,
2006-07,378.846,
2006-10,707.242,
2007-01,59.079,
2007-04,712.561,
2007-07,681.899,
2007-10,663.403,
2008-01,434.952,
2008-04,805.154,
2008-07,756.442,
2008-10,1218.631,
2009-01,646.274,
2009-04,897.227,
2009-07,1137.196,
2009-10,1138.539,
2010-01,1053.810,
2010-04,1459.973,
2010-07,1014.491,
2010-10,1290.770,
2011-01,819.335,
2011-04,1269.178,
2011-07,1004.006,
2011-10,1507.955,
2012-01,1044.248,
2012-04,1357.075,
2012-07,1168.835,
2012-10,1583.785,
2013-01,1036.736,
2013-04,1510.571,
2013-07,1047.369,
2013-10,1857.957,
2014-01,1626.422,Provisional value
2014-04,1974.687,Provisional value
2014-07,1754.878,Provisional value
