"",BBFN1.M.DE.N.1.A.IS.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.IS.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:16:19,
2006-03,0.082,
2006-04,0.083,
2006-05,0.083,
2006-06,0.105,
2006-07,0.105,
2006-08,0.130,
2006-09,0.122,
2006-10,0.121,
2006-11,0.121,
2006-12,0.151,
2007-01,0.185,
2007-02,0.195,
2007-03,0.303,
2007-04,0.278,
2007-05,0.278,
2007-06,0.330,
2007-07,0.335,
2007-08,0.329,
2007-09,0.280,
2007-10,0.329,
2007-11,0.282,
2007-12,0.303,
2008-01,0.291,
2008-02,0.296,
2008-03,0.293,
2008-04,0.292,
2008-05,0.295,
2008-06,0.291,
2008-07,0.293,
2008-08,0.288,
2008-09,0.287,
2008-10,0.287,
2008-11,0.285,
2008-12,0.228,
2009-01,0.056,
2009-02,0.054,
2009-03,0.054,
2009-04,0.058,
2009-05,0.054,
2009-06,0.052,
2009-07,0.051,
2009-08,0.051,
2009-09,0.051,
2009-10,0.052,
2009-11,0.051,
2009-12,0.045,
2010-01,0.046,
2010-02,0.045,
2010-03,0.045,
2010-04,0.045,
2010-05,0.047,
2010-06,0.045,
2010-07,0.046,
2010-08,0.045,
2010-09,0.045,
2010-10,0.037,
2010-11,0.035,
2010-12,0.037,
2011-01,0.020,
2011-02,0.022,
2011-03,0.052,
2011-04,0.051,
2011-05,0.050,
2011-06,0.052,
2011-07,0.054,
2011-08,0.052,
2011-09,0.053,
2011-10,0.054,
2011-11,0.052,
2011-12,0.055,
2012-01,0.042,
2012-02,0.043,
2012-03,0.015,
2012-04,0.013,
2012-05,0.010,
2012-06,0.012,
2012-07,0.012,
2012-08,0.029,
2012-09,0.036,
2012-10,0.039,
2012-11,0.078,
2012-12,0.055,
2013-01,0.060,
2013-02,0.064,
2013-03,0.050,
2013-04,0.054,
2013-05,0.030,
2013-06,0.041,
2013-07,0.030,
2013-08,0.035,
2013-09,0.037,
2013-10,0.039,
2013-11,0.049,
2013-12,0.050,
2014-01,0.075,
2014-02,0.076,
2014-03,0.011,
2014-04,0.012,
2014-05,0.013,
2014-06,0.014,
2014-07,0.012,
2014-08,0.013,
2014-09,0.014,
2014-10,0.023,
2014-11,0.024,
2014-12,0.029,
