"",BBFN1.M.DE.N.1.L.BY.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.BY.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:36,
2006-03,0.050,
2006-04,0.058,
2006-05,0.055,
2006-06,0.056,
2006-07,0.058,
2006-08,0.070,
2006-09,0.065,
2006-10,0.063,
2006-11,0.061,
2006-12,0.059,
2007-01,0.051,
2007-02,0.054,
2007-03,0.051,
2007-04,0.055,
2007-05,0.053,
2007-06,0.051,
2007-07,0.053,
2007-08,0.055,
2007-09,0.062,
2007-10,0.064,
2007-11,0.072,
2007-12,0.071,
2008-01,0.074,
2008-02,0.072,
2008-03,0.080,
2008-04,0.078,
2008-05,0.087,
2008-06,0.083,
2008-07,0.082,
2008-08,0.084,
2008-09,0.075,
2008-10,0.095,
2008-11,0.087,
2008-12,0.087,
2009-01,0.083,
2009-02,0.065,
2009-03,0.066,
2009-04,0.063,
2009-05,0.070,
2009-06,0.068,
2009-07,0.074,
2009-08,0.075,
2009-09,0.069,
2009-10,0.070,
2009-11,0.070,
2009-12,0.079,
2010-01,0.088,
2010-02,0.079,
2010-03,0.083,
2010-04,0.098,
2010-05,0.109,
2010-06,0.111,
2010-07,0.112,
2010-08,0.119,
2010-09,0.110,
2010-10,0.126,
2010-11,0.136,
2010-12,0.145,
2011-01,0.138,
2011-02,0.124,
2011-03,0.125,
2011-04,0.110,
2011-05,0.106,
2011-06,0.108,
2011-07,0.116,
2011-08,0.114,
2011-09,0.077,
2011-10,0.080,
2011-11,0.079,
2011-12,0.085,
2012-01,0.094,
2012-02,0.094,
2012-03,0.103,
2012-04,0.105,
2012-05,0.112,
2012-06,0.110,
2012-07,0.114,
2012-08,0.119,
2012-09,0.121,
2012-10,0.134,
2012-11,0.150,
2012-12,0.167,
2013-01,0.167,
2013-02,0.167,
2013-03,0.125,
2013-04,0.090,
2013-05,0.094,
2013-06,0.101,
2013-07,0.106,
2013-08,0.116,
2013-09,0.125,
2013-10,0.138,
2013-11,0.125,
2013-12,0.115,
2014-01,0.118,
2014-02,0.116,
2014-03,0.115,
2014-04,0.105,
2014-05,0.104,
2014-06,0.108,
2014-07,0.111,
2014-08,0.120,
2014-09,0.126,
2014-10,0.124,
2014-11,0.128,
2014-12,0.081,
