"",BBFN1.M.DE.N.1.A.TH.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.TH.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Thailand,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:29:31,
1995-01,0.129,
1995-02,0.127,
1995-03,0.133,
1995-04,0.132,
1995-05,0.139,
1995-06,0.146,
1995-07,0.140,
1995-08,0.149,
1995-09,0.146,
1995-10,0.156,
1995-11,0.154,
1995-12,0.163,
1996-01,0.177,
1996-02,0.162,
1996-03,0.160,
1996-04,0.152,
1996-05,0.170,
1996-06,0.169,
1996-07,0.190,
1996-08,0.206,
1996-09,0.208,
1996-10,0.218,
1996-11,0.239,
1996-12,0.249,
1997-01,0.267,
1997-02,0.275,
1997-03,0.295,
1997-04,0.292,
1997-05,0.262,
1997-06,0.215,
1997-07,0.239,
1997-08,0.288,
1997-09,0.309,
1997-10,0.334,
1997-11,0.336,
1997-12,0.385,
1998-01,0.384,
1998-02,0.385,
1998-03,0.388,
1998-04,0.365,
1998-05,0.345,
1998-06,0.372,
1998-07,0.385,
1998-08,0.347,
1998-09,0.349,
1998-10,0.363,
1998-11,0.379,
1998-12,0.345,
1999-01,0.342,
1999-02,0.351,
1999-03,0.370,
1999-04,0.430,
1999-05,0.380,
1999-06,0.367,
1999-07,0.367,
1999-08,0.395,
1999-09,0.393,
1999-10,0.378,
1999-11,0.393,
1999-12,0.383,
2000-01,0.408,
2000-02,0.427,
2000-03,0.418,
2000-04,0.406,
2000-05,0.408,
2000-06,0.381,
2000-07,0.387,
2000-08,0.377,
2000-09,0.394,
2000-10,0.384,
2000-11,0.397,
2000-12,0.388,
2001-01,0.397,
2001-02,0.394,
2001-03,0.393,
2001-04,0.473,
2001-05,0.471,
2001-06,0.490,
2001-07,0.516,
2001-08,0.506,
2001-09,0.504,
2001-10,0.494,
2001-11,0.449,
2001-12,0.429,
2002-01,0.455,
2002-02,0.553,
2002-03,0.459,
2002-04,0.335,
2002-05,0.330,
2002-06,0.389,
2002-07,0.492,
2002-08,0.484,
2002-09,0.381,
2002-10,0.382,
2002-11,0.384,
2002-12,0.375,
2003-01,0.390,
2003-02,0.370,
2003-03,0.349,
2003-04,0.349,
2003-05,0.358,
2003-06,0.357,
2003-07,0.356,
2003-08,0.347,
2003-09,0.365,
2003-10,0.366,
2003-11,0.362,
2003-12,0.358,
2004-01,0.351,
2004-02,0.353,
2004-03,0.351,
2004-04,0.352,
2004-05,0.355,
2004-06,0.348,
2004-07,0.347,
2004-08,0.350,
2004-09,0.346,
2004-10,0.365,
2004-11,0.347,
2004-12,0.368,
2005-01,0.350,
2005-02,0.361,
2005-03,0.575,
2005-04,0.576,
2005-05,0.622,
2005-06,0.360,
2005-07,0.370,
2005-08,0.363,
2005-09,0.333,
2005-10,0.354,
2005-11,0.367,
2005-12,0.389,
2006-01,0.388,
2006-02,0.420,
2006-03,0.403,
2006-04,0.404,
2006-05,0.415,
2006-06,0.387,
2006-07,0.385,
2006-08,0.395,
2006-09,0.371,
2006-10,0.366,
2006-11,0.356,
2006-12,0.368,
2007-01,0.376,
2007-02,0.377,
2007-03,0.407,
2007-04,0.417,
2007-05,0.428,
2007-06,0.429,
2007-07,0.440,
2007-08,0.442,
2007-09,0.442,
2007-10,0.392,
2007-11,0.390,
2007-12,0.383,
2008-01,0.385,
2008-02,0.374,
2008-03,0.383,
2008-04,0.382,
2008-05,0.378,
2008-06,0.414,
2008-07,0.220,
2008-08,0.244,
2008-09,0.225,
2008-10,0.222,
2008-11,0.238,
2008-12,0.224,
2009-01,0.222,
2009-02,0.218,
2009-03,0.212,
2009-04,0.212,
2009-05,0.207,
2009-06,0.208,
2009-07,0.218,
2009-08,0.207,
2009-09,0.211,
2009-10,0.194,
2009-11,0.190,
2009-12,0.202,
2010-01,0.218,
2010-02,0.618,
2010-03,0.211,
2010-04,0.218,
2010-05,0.223,
2010-06,0.210,
2010-07,0.203,
2010-08,0.209,
2010-09,0.206,
2010-10,0.213,
2010-11,0.207,
2010-12,0.235,
2011-01,0.260,
2011-02,0.266,
2011-03,0.248,
2011-04,0.306,
2011-05,0.333,
2011-06,0.336,
2011-07,0.368,
2011-08,0.383,
2011-09,0.390,
2011-10,0.395,
2011-11,0.391,
2011-12,0.389,
2012-01,0.398,
2012-02,0.395,
2012-03,0.392,
2012-04,0.418,
2012-05,0.425,
2012-06,0.407,
2012-07,0.415,
2012-08,0.389,
2012-09,0.386,
2012-10,0.391,
2012-11,0.402,
2012-12,0.411,
2013-01,0.413,
2013-02,0.412,
2013-03,0.409,
2013-04,0.421,
2013-05,0.374,
2013-06,0.368,
2013-07,0.319,
2013-08,0.329,
2013-09,0.351,
2013-10,0.331,
2013-11,0.323,
2013-12,0.304,
2014-01,0.276,
2014-02,0.282,
2014-03,0.292,
2014-04,0.291,
2014-05,0.268,
2014-06,0.291,
2014-07,0.284,
2014-08,0.273,
2014-09,0.266,
2014-10,0.274,
2014-11,0.276,
2014-12,0.280,
