"",BBK01.OEAH61H,BBK01.OEAH61H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:05,
2002-01,12.916,
2002-04,11.626,
2002-07,11.686,
2002-10,12.208,
2003-01,12.201,
2003-04,12.122,
2003-07,11.996,
2003-10,12.502,
2004-01,12.603,
2004-04,12.593,
2004-07,12.654,
2004-10,13.196,
2005-01,13.776,
2005-04,13.760,
2005-07,13.806,
2005-10,14.236,
2006-01,14.517,
2006-04,14.522,
2006-07,14.730,
2006-10,15.323,
2007-01,15.538,
2007-04,15.678,
2007-07,16.046,
2007-10,17.254,
2008-01,17.724,
2008-04,17.749,
2008-07,18.101,
2008-10,18.576,
2009-01,18.248,
2009-04,18.173,
2009-07,18.506,
2009-10,19.349,
2010-01,17.639,
2010-04,17.697,
2010-07,17.666,
2010-10,17.793,
2011-01,17.784,
2011-04,17.703,
2011-07,17.604,
2011-10,18.018,
2012-01,18.034,
2012-04,17.858,
2012-07,17.826,
2012-10,16.297,
2013-01,15.958,
2013-04,16.030,
2013-07,15.953,
2013-10,16.214,
2014-01,16.586,
2014-04,16.551,
2014-07,16.581,
