"",BBFB1.Q.N.DE.US.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.US.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / United States,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:46,
1991-01,983.435,
1991-04,85.500,
1991-07,344.920,
1991-10,574.769,
1992-01,966.104,
1992-04,63.449,
1992-07,40.969,
1992-10,-1028.760,
1993-01,598.090,
1993-04,3060.584,
1993-07,2698.870,
1993-10,1590.591,
1994-01,2951.711,
1994-04,-207.739,
1994-07,297.984,
1994-10,-927.080,
1995-01,-1992.760,
1995-04,709.080,
1995-07,524.172,
1995-10,1942.790,
1996-01,695.029,
1996-04,207.055,
1996-07,1344.296,
1996-10,4199.465,
1997-01,1286.867,
1997-04,913.659,
1997-07,320.504,
1997-10,-29.643,
1998-01,3111.126,
1998-04,-10.050,
1998-07,-927.432,
1998-10,22462.432,
1999-01,-563.026,
1999-04,-394.225,
1999-07,4664.738,
1999-10,-1396.743,
2000-01,-22326.192,
2000-04,932.254,
2000-07,58.727,
2000-10,-1308.490,
2001-01,2737.930,
2001-04,31737.215,
2001-07,2157.641,
2001-10,14408.051,
2002-01,6415.179,
2002-04,874.836,
2002-07,1217.374,
2002-10,-24.351,
2003-01,1339.559,
2003-04,3964.826,
2003-07,137.002,
2003-10,486.335,
2004-01,-8554.553,
2004-04,-3097.962,
2004-07,-384.569,
2004-10,1225.436,
2005-01,859.349,
2005-04,3576.897,
2005-07,1203.555,
2005-10,-6547.433,
2006-01,5324.533,
2006-04,4228.856,
2006-07,-1950.320,
2006-10,14350.601,
2007-01,-1432.059,
2007-04,2621.869,
2007-07,-5407.960,
2007-10,-3075.935,
2008-01,-73.192,
2008-04,4747.151,
2008-07,-4966.734,
2008-10,-1441.014,
2009-01,-5427.532,
2009-04,-3964.325,
2009-07,-2103.787,
2009-10,-6264.755,
2010-01,913.730,
2010-04,-3772.885,
2010-07,-1378.696,
2010-10,-2677.171,
2011-01,-6111.729,
2011-04,-1199.885,
2011-07,-4819.885,
2011-10,-4969.330,
2012-01,-889.185,
2012-04,-495.947,
2012-07,2506.654,
2012-10,752.213,
2013-01,-1433.755,
2013-04,-2930.973,
2013-07,-6117.681,
2013-10,-7436.069,
2014-01,-7916.878,Provisional value
2014-04,951.131,Provisional value
2014-07,1780.714,Provisional value
2014-10,-11791.339,Provisional value
