"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.CA.00000.F05100.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.CA.00000.F05100.Z01.00_FLAGS
"",Special investors funds / Funds total / Shares / Canada,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:58,
2009-09,383,
2009-10,352,
2009-11,374,
2009-12,395,
2010-01,378,
2010-02,407,
2010-03,449,
2010-04,473,
2010-05,509,
2010-06,497,
2010-07,477,
2010-08,490,
2010-09,672,
2010-10,690,
2010-11,782,
2010-12,821,
2011-01,770,
2011-02,832,
2011-03,801,
2011-04,793,
2011-05,784,
2011-06,747,
2011-07,790,
2011-08,758,
2011-09,686,
2011-10,741,
2011-11,743,
2011-12,781,
2012-01,811,
2012-02,835,
2012-03,795,
2012-04,804,
2012-05,760,
2012-06,753,
2012-07,802,
2012-08,814,
2012-09,853,
2012-10,846,
2012-11,821,
2012-12,862,
2013-01,892,
2013-02,931,
2013-03,1061,
2013-04,1078,
2013-05,1100,
2013-06,1031,
2013-07,1108,
2013-08,1132,
2013-09,1191,
2013-10,1280,
2013-11,1260,
2013-12,1258,
2014-01,1283,
2014-02,1331,
2014-03,1371,
2014-04,1460,
2014-05,1532,
2014-06,1631,
2014-07,1711,
2014-08,1809,
2014-09,1718,
2014-10,1703,
2014-11,1754,
