"",BBSF2.M.1.T.00000.DER01.I.F.BGH.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DER01.I.F.BGH.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Derivative funds / Deposits and loan claims,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:23,
2009-09,555,
2009-10,491,
2009-11,398,
2009-12,446,
2010-01,416,
2010-02,414,
2010-03,432,
2010-04,414,
2010-05,398,
2010-06,384,
2010-07,336,
2010-08,338,
2010-09,369,
2010-10,315,
2010-11,315,
2010-12,308,
2011-01,297,
2011-02,284,
2011-03,264,
2011-04,267,
2011-05,272,
2011-06,252,
2011-07,225,
2011-08,189,
2011-09,193,
2011-10,205,
2011-11,204,
2011-12,186,
2012-01,158,
2012-02,133,
2012-03,29,
2012-04,29,
2012-05,29,
2012-06,34,
2012-07,34,
2012-08,34,
2012-09,38,
2012-10,39,
2012-11,40,
2012-12,40,
2013-01,18,
2013-02,13,
2013-03,10,
2013-04,4,
2013-05,2,
2013-06,1,
2013-07,1,
2013-08,1,
2013-09,1,
2013-10,1,
2013-11,2,
2013-12,2,
2014-01,2,
2014-02,2,
2014-03,3,
2014-04,5,
2014-05,13,
2014-06,13,
2014-07,16,
2014-08,18,
2014-09,16,
2014-10,18,
2014-11,15,
