"",BBFN1.M.DE.N.1.A.IE.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.IE.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Ireland,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:10:39,
1994-07,0.326,
1994-08,0.368,
1994-09,0.390,
1994-10,0.391,
1994-11,0.437,
1994-12,0.474,
1995-01,0.481,
1995-02,0.464,
1995-03,0.505,
1995-04,0.538,
1995-05,0.562,
1995-06,0.568,
1995-07,0.519,
1995-08,0.455,
1995-09,0.510,
1995-10,0.502,
1995-11,0.537,
1995-12,0.517,
1996-01,0.467,
1996-02,0.500,
1996-03,0.517,
1996-04,0.523,
1996-05,0.491,
1996-06,0.489,
1996-07,0.445,
1996-08,0.421,
1996-09,0.459,
1996-10,0.494,
1996-11,0.495,
1996-12,0.491,
1997-01,0.544,
1997-02,0.560,
1997-03,0.580,
1997-04,0.565,
1997-05,0.540,
1997-06,0.523,
1997-07,0.524,
1997-08,0.506,
1997-09,0.559,
1997-10,0.651,
1997-11,0.687,
1997-12,0.665,
1998-01,0.578,
1998-02,0.612,
1998-03,0.643,
1998-04,0.621,
1998-05,0.662,
1998-06,0.668,
1998-07,0.616,
1998-08,0.568,
1998-09,0.581,
1998-10,0.600,
1998-11,0.662,
1998-12,0.681,
1999-01,0.692,
1999-02,0.758,
1999-03,0.798,
1999-04,0.738,
1999-05,0.788,
1999-06,0.847,
1999-07,0.744,
1999-08,0.707,
1999-09,0.757,
1999-10,0.795,
1999-11,0.807,
1999-12,0.895,
2000-01,0.849,
2000-02,0.909,
2000-03,0.944,
2000-04,1.002,
2000-05,0.962,
2000-06,0.945,
2000-07,0.889,
2000-08,0.882,
2000-09,0.977,
2000-10,1.003,
2000-11,0.979,
2000-12,0.944,
2001-01,0.946,
2001-02,1.063,
2001-03,1.163,
2001-04,1.379,
2001-05,1.409,
2001-06,1.650,
2001-07,1.023,
2001-08,0.981,
2001-09,1.019,
2001-10,1.044,
2001-11,1.085,
2001-12,1.185,
2002-01,1.248,
2002-02,1.293,
2002-03,1.260,
2002-04,1.235,
2002-05,1.141,
2002-06,1.166,
2002-07,1.086,
2002-08,0.978,
2002-09,1.076,
2002-10,1.027,
2002-11,1.152,
2002-12,1.041,
2003-01,1.481,
2003-02,1.170,
2003-03,1.174,
2003-04,1.316,
2003-05,1.237,
2003-06,1.377,
2003-07,1.284,
2003-08,1.282,
2003-09,1.328,
2003-10,1.292,
2003-11,1.397,
2003-12,1.467,
2004-01,1.605,
2004-02,1.450,
2004-03,1.434,
2004-04,1.233,
2004-05,1.208,
2004-06,1.306,
2004-07,1.078,
2004-08,1.018,
2004-09,1.115,
2004-10,1.205,
2004-11,1.273,
2004-12,1.227,
2005-01,1.571,
2005-02,1.324,
2005-03,1.247,
2005-04,1.159,
2005-05,1.109,
2005-06,1.238,
2005-07,1.089,
2005-08,1.148,
2005-09,1.333,
2005-10,1.315,
2005-11,1.254,
2005-12,1.285,
2006-01,1.442,
2006-02,1.354,
2006-03,1.223,
2006-04,1.402,
2006-05,1.307,
2006-06,1.188,
2006-07,1.054,
2006-08,1.108,
2006-09,1.296,
2006-10,1.289,
2006-11,1.404,
2006-12,1.316,
2007-01,1.532,
2007-02,1.423,
2007-03,1.470,
2007-04,1.278,
2007-05,1.337,
2007-06,1.265,
2007-07,1.050,
2007-08,1.091,
2007-09,1.324,
2007-10,1.359,
2007-11,1.471,
2007-12,1.539,
2008-01,1.356,
2008-02,1.332,
2008-03,1.451,
2008-04,1.393,
2008-05,1.385,
2008-06,1.539,
2008-07,1.434,
2008-08,1.326,
2008-09,1.382,
2008-10,1.446,
2008-11,1.321,
2008-12,1.342,
2009-01,1.321,
2009-02,1.339,
2009-03,1.100,
2009-04,1.059,
2009-05,0.967,
2009-06,1.105,
2009-07,1.036,
2009-08,0.997,
2009-09,1.058,
2009-10,1.130,
2009-11,1.094,
2009-12,1.027,
2010-01,1.504,
2010-02,1.208,
2010-03,1.321,
2010-04,1.306,
2010-05,1.436,
2010-06,1.387,
2010-07,1.268,
2010-08,1.401,
2010-09,1.429,
2010-10,1.372,
2010-11,1.478,
2010-12,1.403,
2011-01,1.462,
2011-02,1.602,
2011-03,1.454,
2011-04,1.459,
2011-05,1.386,
2011-06,1.669,
2011-07,1.293,
2011-08,1.387,
2011-09,1.499,
2011-10,1.499,
2011-11,1.395,
2011-12,1.503,
2012-01,1.297,
2012-02,1.352,
2012-03,1.257,
2012-04,1.263,
2012-05,1.230,
2012-06,1.264,
2012-07,1.313,
2012-08,1.284,
2012-09,1.249,
2012-10,1.606,
2012-11,1.209,
2012-12,1.208,
2013-01,1.275,
2013-02,1.258,
2013-03,1.297,
2013-04,1.313,
2013-05,1.262,
2013-06,1.410,
2013-07,1.368,
2013-08,1.300,
2013-09,1.413,
2013-10,1.509,
2013-11,1.628,
2013-12,1.479,
2014-01,1.513,
2014-02,1.427,
2014-03,1.321,
2014-04,1.443,
2014-05,1.232,
2014-06,1.299,
2014-07,1.342,
2014-08,1.183,
2014-09,1.385,
2014-10,1.325,
2014-11,1.515,
2014-12,1.391,
