"",BBK01.OEBL08G,BBK01.OEBL08G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:57,
2002-01,28.811,
2002-04,28.534,
2002-07,28.770,
2002-10,32.071,
2003-01,34.049,
2003-04,34.486,
2003-07,35.520,
2003-10,37.753,
2004-01,38.774,
2004-04,39.126,
2004-07,39.550,
2004-10,40.833,
2005-01,9.369,
2005-04,9.551,
2005-07,7.400,
2005-10,7.420,
2006-01,7.219,
2006-04,7.031,
2006-07,6.750,
2006-10,6.645,
2007-01,6.787,
2007-04,6.669,
2007-07,6.604,
2007-10,6.805,
2008-01,6.809,
2008-04,7.049,
2008-07,6.790,
2008-10,6.821,
2009-01,7.035,
2009-04,7.421,
2009-07,8.032,
2009-10,8.492,
2010-01,8.589,
2010-04,8.347,
2010-07,8.299,
2010-10,8.366,
2011-01,8.203,
2011-04,7.909,
2011-07,7.900,
2011-10,7.933,
2012-01,8.566,
2012-04,8.507,
2012-07,8.451,
2012-10,8.577,
2013-01,8.283,
2013-04,8.159,
2013-07,7.962,
2013-10,7.860,
2014-01,7.699,
2014-04,7.519,
2014-07,7.591,
