"",BBFN1.M.DE.N.1.L.BM.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.BM.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Bermuda,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:22:21,
1994-07,0.025,
1994-08,0.025,
1994-09,0.027,
1994-10,0.029,
1994-11,0.049,
1994-12,0.048,
1995-01,0.026,
1995-02,0.031,
1995-03,0.030,
1995-04,0.031,
1995-05,0.029,
1995-06,0.038,
1995-07,0.038,
1995-08,0.032,
1995-09,0.033,
1995-10,0.040,
1995-11,0.030,
1995-12,0.031,
1996-01,0.035,
1996-02,0.034,
1996-03,0.028,
1996-04,0.024,
1996-05,0.030,
1996-06,0.032,
1996-07,0.033,
1996-08,0.030,
1996-09,0.033,
1996-10,0.028,
1996-11,0.048,
1996-12,0.034,
1997-01,0.033,
1997-02,0.031,
1997-03,0.032,
1997-04,0.034,
1997-05,0.027,
1997-06,0.018,
1997-07,0.031,
1997-08,0.024,
1997-09,0.027,
1997-10,0.035,
1997-11,0.079,
1997-12,0.093,
1998-01,0.084,
1998-02,0.076,
1998-03,0.082,
1998-04,0.062,
1998-05,0.109,
1998-06,0.103,
1998-07,0.098,
1998-08,0.110,
1998-09,0.126,
1998-10,0.094,
1998-11,0.094,
1998-12,0.090,
1999-01,0.054,
1999-02,0.106,
1999-03,0.193,
1999-04,0.142,
1999-05,0.153,
1999-06,0.213,
1999-07,0.196,
1999-08,0.182,
1999-09,0.240,
1999-10,0.227,
1999-11,0.089,
1999-12,0.305,
2000-01,0.289,
2000-02,0.287,
2000-03,0.260,
2000-04,0.285,
2000-05,0.354,
2000-06,0.317,
2000-07,0.302,
2000-08,0.364,
2000-09,0.408,
2000-10,0.343,
2000-11,0.445,
2000-12,0.244,
2001-01,0.270,
2001-02,0.287,
2001-03,0.258,
2001-04,0.314,
2001-05,0.390,
2001-06,0.374,
2001-07,0.315,
2001-08,0.356,
2001-09,0.269,
2001-10,0.268,
2001-11,0.263,
2001-12,0.233,
2002-01,0.253,
2002-02,0.248,
2002-03,0.315,
2002-04,0.325,
2002-05,0.320,
2002-06,0.265,
2002-07,0.273,
2002-08,0.256,
2002-09,0.192,
2002-10,0.169,
2002-11,0.245,
2002-12,0.316,
2003-01,0.357,
2003-02,0.295,
2003-03,0.307,
2003-04,0.265,
2003-05,0.132,
2003-06,0.249,
2003-07,0.221,
2003-08,0.238,
2003-09,0.230,
2003-10,0.248,
2003-11,0.248,
2003-12,0.291,
2004-01,0.249,
2004-02,0.226,
2004-03,0.252,
2004-04,0.245,
2004-05,0.265,
2004-06,0.059,
2004-07,0.083,
2004-08,0.085,
2004-09,0.099,
2004-10,0.072,
2004-11,0.051,
2004-12,0.065,
2005-01,0.084,
2005-02,0.109,
2005-03,0.129,
2005-04,0.127,
2005-05,0.147,
2005-06,0.152,
2005-07,0.179,
2005-08,0.157,
2005-09,0.157,
2005-10,0.134,
2005-11,0.118,
2005-12,0.096,
2006-01,0.111,
2006-02,0.128,
2006-03,0.129,
2006-04,0.127,
2006-05,0.116,
2006-06,0.158,
2006-07,0.174,
2006-08,0.174,
2006-09,0.213,
2006-10,0.226,
2006-11,0.171,
2006-12,0.108,
2007-01,0.111,
2007-02,0.172,
2007-03,0.152,
2007-04,0.170,
2007-05,0.172,
2007-06,0.157,
2007-07,0.160,
2007-08,0.154,
2007-09,0.143,
2007-10,0.139,
2007-11,0.134,
2007-12,0.072,
2008-01,0.055,
2008-02,0.067,
2008-03,0.070,
2008-04,0.055,
2008-05,0.074,
2008-06,0.056,
2008-07,0.393,
2008-08,0.369,
2008-09,0.361,
2008-10,0.048,
2008-11,0.036,
2008-12,0.088,
2009-01,0.060,
2009-02,0.077,
2009-03,0.082,
2009-04,0.076,
2009-05,0.069,
2009-06,0.083,
2009-07,0.132,
2009-08,0.126,
2009-09,0.123,
2009-10,0.115,
2009-11,0.116,
2009-12,0.110,
2010-01,0.330,
2010-02,0.337,
2010-03,0.323,
2010-04,0.368,
2010-05,0.350,
2010-06,0.297,
2010-07,0.308,
2010-08,0.147,
2010-09,0.141,
2010-10,0.139,
2010-11,0.133,
2010-12,0.120,
2011-01,0.292,
2011-02,0.270,
2011-03,0.088,
2011-04,0.279,
2011-05,0.087,
2011-06,0.094,
2011-07,0.122,
2011-08,0.110,
2011-09,0.122,
2011-10,0.095,
2011-11,0.088,
2011-12,0.112,
2012-01,0.253,
2012-02,0.317,
2012-03,0.095,
2012-04,0.252,
2012-05,0.095,
2012-06,0.104,
2012-07,0.122,
2012-08,0.114,
2012-09,0.113,
2012-10,0.135,
2012-11,0.123,
2012-12,0.110,
2013-01,0.247,
2013-02,0.272,
2013-03,0.269,
2013-04,0.253,
2013-05,0.255,
2013-06,0.185,
2013-07,0.178,
2013-08,0.164,
2013-09,0.331,
2013-10,0.257,
2013-11,0.272,
2013-12,0.276,
2014-01,0.339,
2014-02,0.432,
2014-03,0.419,
2014-04,0.407,
2014-05,0.264,
2014-06,0.315,
2014-07,0.311,
2014-08,0.290,
2014-09,0.326,
2014-10,0.292,
2014-11,0.261,
2014-12,0.352,
