"",BBK01.OELB22N,BBK01.OELB22N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:24,
2002-01,0.266,
2002-04,0.322,
2002-07,0.367,
2002-10,0.352,
2003-01,0.371,
2003-04,0.441,
2003-07,0.432,
2003-10,0.351,
2004-01,0.636,
2004-04,0.692,
2004-07,0.447,
2004-10,0.374,
2005-01,0.355,
2005-04,0.380,
2005-07,0.342,
2005-10,0.298,
2006-01,0.214,
2006-04,0.220,
2006-07,0.225,
2006-10,0.278,
2007-01,0.190,
2007-04,0.172,
2007-07,0.169,
2007-10,0.226,
2008-01,0.128,
2008-04,0.131,
2008-07,0.101,
2008-10,0.474,
2009-01,0.100,
2009-04,0.115,
2009-07,0.123,
2009-10,0.182,
2010-01,0.126,
2010-04,0.133,
2010-07,0.119,
2010-10,0.153,
2011-01,0.109,
2011-04,0.121,
2011-07,0.085,
2011-10,0.164,
2012-01,0.124,
2012-04,0.106,
2012-07,0.133,
2012-10,0.192,
2013-01,0.160,
2013-04,0.166,
2013-07,0.176,
2013-10,0.231,
2014-01,0.211,
2014-04,0.199,
2014-07,0.171,
