"",BBK01.SU0523,BBK01.SU0523_FLAGS
"","Deposit rates of banks / Savings deposits with higher rates of return, with agreed notice of 3 months, without a duration of contract being agreed, EUR 5,000 and more but less than EUR 10,000 / Highest rate of spread",
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2013-04-03 10:29:31,
1996-11,3.45,
1996-12,3.45,
1997-01,3.45,
1997-02,3.25,
1997-03,3.25,
1997-04,3.25,
1997-05,3.25,
1997-06,3.25,
1997-07,3.25,
1997-08,3.25,
1997-09,3.25,
1997-10,3.25,
1997-11,3.25,
1997-12,3.25,
1998-01,3.40,
1998-02,3.25,
1998-03,3.25,
1998-04,3.25,
1998-05,3.25,
1998-06,3.25,
1998-07,3.25,
1998-08,3.23,
1998-09,3.10,
1998-10,3.10,
1998-11,3.09,
1998-12,3.09,
1999-01,3.00,
1999-02,2.80,
1999-03,2.85,
1999-04,2.75,
1999-05,2.60,
1999-06,2.50,
1999-07,2.50,
1999-08,2.50,
1999-09,2.63,
1999-10,2.75,
1999-11,2.80,
1999-12,2.91,
2000-01,2.90,
2000-02,2.90,
2000-03,3.05,
2000-04,3.20,
2000-05,3.50,
2000-06,3.65,
2000-07,3.70,
2000-08,3.90,
2000-09,3.95,
2000-10,4.01,
2000-11,4.20,
2000-12,4.20,
2001-01,4.10,
2001-02,4.00,
2001-03,4.00,
2001-04,4.00,
2001-05,4.00,
2001-06,4.00,
2001-07,4.00,
2001-08,3.75,
2001-09,3.50,
2001-10,3.50,
2001-11,3.00,
2001-12,3.00,
2002-01,2.75,
2002-02,2.75,
2002-03,2.80,
2002-04,2.80,
2002-05,2.80,
2002-06,2.80,
2002-07,2.81,
2002-08,2.80,
2002-09,2.75,
2002-10,2.75,
2002-11,2.75,
2002-12,2.75,
2003-01,2.95,
2003-02,2.70,
2003-03,2.70,
2003-04,2.35,
2003-05,2.20,
2003-06,2.20,
"","General: Up to December 2001, deposits of DM 10,000 and more but less than DM 20,000. The spread is ascertained by eliminating the reports in the top 5% and the bottom 5% of the interest rate range.",
