"",BBK01.OEAE25N,BBK01.OEAE25N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:43,
2002-01,1.572,
2002-04,1.581,
2002-07,1.613,
2002-10,1.625,
2003-01,1.592,
2003-04,1.659,
2003-07,1.665,
2003-10,1.669,
2004-01,1.646,
2004-04,1.642,
2004-07,1.630,
2004-10,1.598,
2005-01,1.588,
2005-04,1.562,
2005-07,1.714,
2005-10,1.761,
2006-01,1.793,
2006-04,1.824,
2006-07,1.831,
2006-10,1.795,
2007-01,1.779,
2007-04,1.768,
2007-07,1.684,
2007-10,1.697,
2008-01,1.725,
2008-04,1.728,
2008-07,1.555,
2008-10,1.587,
2009-01,1.592,
2009-04,1.607,
2009-07,1.642,
2009-10,1.640,
2010-01,1.676,
2010-04,1.700,
2010-07,1.706,
2010-10,1.711,
2011-01,1.715,
2011-04,1.761,
2011-07,1.786,
2011-10,1.804,
2012-01,1.847,
2012-04,1.234,
2012-07,1.236,
2012-10,1.223,
2013-01,1.208,
2013-04,1.182,
2013-07,1.186,
2013-10,1.175,
2014-01,1.189,
2014-04,1.171,
2014-07,1.169,
