"",BBEX3.M.BWP.USD.CM.AC.A01,BBEX3.M.BWP.USD.CM.AC.A01_FLAGS
"",Exchange rates for the US dollar in Botswana / BWP 1 = USD ... (middle),
unit,USD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:32,
1976-09,1.15000,comment
1976-10,.,No value available
1976-11,.,No value available
1976-12,1.15000,
1977-01,1.15000,
1977-02,1.15000,
1977-03,1.15000,
1977-04,1.20750,
1977-05,1.20750,
1977-06,1.20750,
1977-07,1.20750,
1977-08,1.20750,
1977-09,1.20750,
1977-10,1.20750,
1977-11,1.20750,
1977-12,1.20750,
1978-01,1.20750,
1978-02,1.20750,
1978-03,1.20750,
1978-04,1.20750,
1978-05,1.20750,
1978-06,1.20750,
1978-07,1.20750,
1978-08,1.20750,
1978-09,1.20750,
1978-10,1.20750,
1978-11,1.20750,
1978-12,1.20750,
1979-01,1.20750,
1979-02,1.20750,
1979-03,1.20750,
1979-04,1.20750,
1979-05,1.20750,
1979-06,1.20750,
1979-07,1.20750,
1979-08,1.20750,
1979-09,1.26790,
1979-10,1.26790,
1979-11,1.26790,
1979-12,1.26790,
1980-01,1.26790,
1980-02,1.26790,
1980-03,1.26790,
1980-04,1.26790,
1980-05,1.26790,
1980-06,1.28130,
1980-07,1.28670,
1980-08,1.28930,
1980-09,1.29130,
1980-10,1.28640,
1980-11,1.34540,
1980-12,1.34730,
1981-01,1.32230,
1981-02,1.29080,
1981-03,1.27500,
1981-04,1.24710,
1981-05,1.21020,
1981-06,1.17520,
1981-07,1.12050,
1981-08,1.12970,
1981-09,1.13080,
1981-10,1.12260,
1981-11,1.14070,
1981-12,1.13770,
1982-01,1.11840,
1982-02,1.10730,
1982-03,1.06070,
1982-04,1.07200,
1982-05,0.94970,comment
1982-06,0.91120,
1982-07,0.90910,
1982-08,0.90350,
1982-09,0.89860,
1982-10,0.88910,
1982-11,0.91740,
1982-12,0.94250,
1983-01,0.93880,
1983-02,0.93290,
1983-03,0.92260,
1983-04,0.92590,
1983-05,0.93060,
1983-06,0.91820,
1983-07,0.91140,
1983-08,0.89570,
1983-09,0.91000,
1983-10,0.89100,
1983-11,0.87420,
1983-12,0.86540,
