"",BBK01.QUY172,BBK01.QUY172_FLAGS
"","Consolidated German banks: Foreign money market paper, bonds and notes, shares / China, Taiwan / All currencies",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:37:50,
2002-03,0.580,
2002-04,0.661,
2002-05,0.834,
2002-06,0.958,
2002-07,1.481,
2002-08,1.511,
2002-09,1.829,
2002-10,1.844,
2002-11,1.756,
2002-12,1.232,
2003-01,1.324,
2003-02,1.305,
2003-03,1.287,
2003-04,1.060,
2003-05,1.172,
2003-06,1.184,
2003-07,1.170,
2003-08,1.332,
2003-09,1.925,
2003-10,1.893,
2003-11,1.518,
2003-12,1.591,
2004-01,1.859,
2004-02,1.847,
2004-03,1.168,
2004-04,1.015,
2004-05,0.993,
2004-06,1.163,
2004-07,1.326,
2004-08,1.511,
2004-09,1.549,
2004-10,1.466,
2004-11,1.323,
2004-12,1.097,
2005-01,0.986,
2005-02,1.062,
2005-03,1.115,
2005-04,0.824,
2005-05,0.920,
2005-06,1.500,
2005-07,1.323,
2005-08,1.843,
2005-09,1.431,
2005-10,1.654,
2005-11,1.453,
2005-12,0.737,
2006-01,0.786,
2006-02,0.855,
2006-03,1.378,
2006-04,1.541,
2006-05,1.460,
2006-06,0.799,
2006-07,0.740,
2006-08,1.207,
2006-09,0.823,
2006-10,0.767,
2006-11,0.915,
2006-12,1.554,
2007-01,1.606,
2007-02,1.529,
2007-03,1.048,
2007-04,1.786,
2007-05,2.008,
2007-06,1.415,
2007-07,1.968,
2007-08,1.932,
2007-09,2.035,
2007-10,2.091,
2007-11,1.332,
2007-12,2.283,
2008-01,2.264,
2008-02,2.883,
2008-03,3.182,
2008-04,3.344,
2008-05,3.526,
2008-06,2.217,
2008-07,2.702,
2008-08,2.941,
2008-09,1.933,
2008-10,1.856,
2008-11,1.565,
2008-12,0.873,
2009-01,1.346,
2009-02,1.319,
2009-03,1.649,
2009-04,2.103,
2009-05,1.733,
2009-06,1.700,
2009-07,1.896,
2009-08,1.722,
2009-09,1.859,
2009-10,1.765,
2009-11,1.999,
2009-12,2.403,
2010-01,2.452,
2010-02,2.206,
2010-03,1.948,
2010-04,2.687,
2010-05,2.543,
2010-06,2.419,
2010-07,2.128,
2010-08,2.306,
2010-09,2.420,
2010-10,2.206,
2010-11,2.683,
2010-12,2.952,
2011-01,2.751,
2011-02,2.047,
2011-03,2.298,
2011-04,2.271,
2011-05,2.271,
2011-06,2.670,
2011-07,1.540,
2011-08,1.300,
2011-09,1.482,
2011-10,1.340,
2011-11,1.337,
2011-12,1.918,
2012-01,2.714,
2012-02,3.058,
2012-03,2.401,
2012-04,2.041,
2012-05,1.348,
2012-06,1.915,
2012-07,2.701,
2012-08,2.886,
2012-09,2.161,
2012-10,1.941,
2012-11,1.947,
2012-12,1.856,
2013-01,2.152,
2013-02,2.126,
2013-03,2.125,
2013-04,1.937,
2013-05,1.971,
2013-06,1.828,
2013-07,1.560,
2013-08,1.662,
2013-09,1.543,
2013-10,1.334,
2013-11,1.657,
2013-12,1.770,
2014-01,1.828,
2014-02,2.028,
2014-03,2.512,
2014-04,2.617,
2014-05,3.064,
2014-06,3.060,
2014-07,3.043,
2014-08,2.762,
2014-09,2.578,
2014-10,2.605,
