"",BBK01.OEAJ07L,BBK01.OEAJ07L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:38,
2002-01,0.264,
2002-04,0.258,
2002-07,0.258,
2002-10,0.259,
2003-01,0.263,
2003-04,0.328,
2003-07,0.326,
2003-10,0.337,
2004-01,0.358,
2004-04,0.380,
2004-07,0.357,
2004-10,0.379,
2005-01,0.402,
2005-04,0.399,
2005-07,0.427,
2005-10,0.408,
2006-01,0.425,
2006-04,0.417,
2006-07,0.417,
2006-10,0.403,
2007-01,0.390,
2007-04,0.373,
2007-07,0.363,
2007-10,0.342,
2008-01,0.335,
2008-04,0.342,
2008-07,0.342,
2008-10,0.356,
2009-01,0.378,
2009-04,0.419,
2009-07,0.479,
2009-10,0.503,
2010-01,0.607,
2010-04,0.576,
2010-07,0.558,
2010-10,0.553,
2011-01,0.567,
2011-04,0.563,
2011-07,0.559,
2011-10,0.434,
2012-01,0.457,
2012-04,0.469,
2012-07,0.474,
2012-10,0.459,
2013-01,0.470,
2013-04,0.469,
2013-07,0.460,
2013-10,0.444,
2014-01,0.442,
2014-04,0.428,
2014-07,0.432,
