"",BBK01.OEYL05P,BBK01.OEYL05P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:22,
2002-01,0.334,
2002-04,0.334,
2002-07,0.333,
2002-10,0.348,
2003-01,0.356,
2003-04,0.357,
2003-07,0.356,
2003-10,0.369,
2004-01,0.372,
2004-04,0.374,
2004-07,0.413,
2004-10,0.427,
2005-01,0.440,
2005-04,0.441,
2005-07,0.444,
2005-10,0.459,
2006-01,0.467,
2006-04,0.465,
2006-07,0.464,
2006-10,0.476,
2007-01,0.481,
2007-04,0.479,
2007-07,0.475,
2007-10,0.488,
2008-01,0.490,
2008-04,0.485,
2008-07,0.480,
2008-10,0.486,
2009-01,0.488,
2009-04,0.485,
2009-07,0.485,
2009-10,0.499,
2010-01,0.507,
2010-04,0.510,
2010-07,0.513,
2010-10,0.526,
2011-01,0.528,
2011-04,0.521,
2011-07,0.520,
2011-10,0.532,
2012-01,0.535,
2012-04,0.530,
2012-07,0.525,
2012-10,0.538,
2013-01,0.542,
2013-04,0.547,
2013-07,0.550,
2013-10,0.560,
2014-01,0.566,
2014-04,0.574,
2014-07,0.581,
