"",BBEX3.M.JPY.USD.CA.AB.A02,BBEX3.M.JPY.USD.CA.AB.A02_FLAGS
"",Exchange rates for the US dollar in Japan / USD 1 = JPY ... (selling),
unit,JPY (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:20,
1980-01,239.04,
1980-02,245.07,
1980-03,249.59,
1980-04,252.94,
1980-05,229.34,
1980-06,219.15,
1980-07,221.87,
1980-08,225.46,
1980-09,216.07,
1980-10,210.33,
1980-11,213.99,
1980-12,211.08,
1981-01,203.21,
1981-02,206.92,
1981-03,209.98,
1981-04,216.32,
1981-05,221.87,
1981-06,225.47,
1981-07,233.17,
1981-08,235.07,
1981-09,231.09,
1981-10,232.57,
1981-11,225.03,
1981-12,220.05,
1982-01,225.66,
1982-02,236.21,
1982-03,241.82,
1982-04,245.97,
1982-05,238.09,
1982-06,252.09,
1982-07,256.18,
1982-08,259.84,
1982-09,264.01,
1982-10,272.44,
1982-11,266.10,
1982-12,243.65,
1983-01,233.97,
1983-02,237.25,
1983-03,239.05,
1983-04,238.78,
1983-05,235.78,
1983-06,241.20,
1983-07,241.47,
1983-08,245.32,
1983-09,243.84,
1983-10,233.98,
1983-11,236.28,
1983-12,235.36,
1984-01,234.94,
1984-02,234.70,
1984-03,226.43,
1984-04,226.06,
1984-05,231.77,
1984-06,234.33,
1984-07,243.92,
1984-08,243.40,
1984-09,246.35,
1984-10,247.89,
1984-11,244.42,
1984-12,248.99,
1985-01,255.17,
1985-02,261.38,
1985-03,259.65,
1985-04,252.76,
1985-05,252.59,
1985-06,250.01,
1985-07,242.76,
1985-08,238.26,
1985-09,238.07,
1985-10,215.85,
1985-11,204.69,
1985-12,203.83,
1986-01,201.19,
1986-02,185.66,
1986-03,180.03,
1986-04,176.60,
1986-05,167.97,
1986-06,168.96,
1986-07,159.64,
1986-08,155.00,
1986-09,155.76,
1986-10,157.08,
1986-11,163.78,
1986-12,163.26,
1987-01,155.77,
1987-02,154.50,
1987-03,152.59,
1987-04,143.97,
1987-05,141.55,
1987-06,145.58,
1987-07,151.22,
1987-08,148.65,
1987-09,143.96,
1987-10,144.59,
1987-11,136.30,
1987-12,129.41,
1988-01,128.68,
1988-02,130.23,
1988-03,128.28,
1988-04,125.98,
1988-05,125.80,
1988-06,128.20,
1988-07,134.15,
1988-08,134.67,
1988-09,135.50,
1988-10,130.02,
1988-11,124.25,
1988-12,124.63,
1989-01,128.28,
1989-02,128.87,
1989-03,131.41,
1989-04,133.11,
1989-05,139.46,
1989-06,144.72,
1989-07,141.80,
1989-08,142.14,
1989-09,146.15,
1989-10,142.82,
1989-11,144.58,
1989-12,144.66,
1990-01,146.09,
1990-02,146.51,
1990-03,154.11,
1990-04,159.50,
1990-05,154.62,
1990-06,154.77,
1990-07,150.34,
1990-08,148.38,
1990-09,140.04,
1990-10,130.83,
1990-11,130.07,
1990-12,134.71,
1991-01,134.75,
1991-02,131.49,
1991-03,138.15,
1991-04,138.11,
1991-05,139.04,
1991-06,140.77,
1991-07,139.00,
1991-08,137.84,
1991-09,135.58,
1991-10,131.77,
1991-11,130.70,
1991-12,129.13,
1992-01,126.06,
1992-02,128.49,
1992-03,133.73,
1992-04,134.62,
1992-05,131.64,
1992-06,127.85,
1992-07,126.69,
1992-08,127.35,
1992-09,123.73,
1992-10,122.08,
1992-11,124.81,
1992-12,125.03,
1993-01,125.99,
1993-02,122.14,
1993-03,118.13,
1993-04,113.46,
1993-05,111.26,
1993-06,108.34,
1993-07,108.83,
1993-08,104.68,
1993-09,106.27,
1993-10,107.94,
1993-11,108.81,
1993-12,110.67,
1994-01,112.58,
1994-02,107.25,
1994-03,106.13,
1994-04,104.56,
1994-05,104.99,
1994-06,103.72,
1994-07,99.57,
1994-08,100.87,
1994-09,99.85,
1994-10,99.45,
1994-11,99.00,
1994-12,101.20,
1995-01,100.77,
1995-02,99.33,
1995-03,91.87,
1995-04,84.66,
1995-05,86.16,
1995-06,85.54,
1995-07,88.20,
1995-08,95.61,
1995-09,101.45,
1995-10,101.74,
1995-11,103.01,
1995-12,102.90,
1996-01,106.88,
1996-02,106.72,
1996-03,106.91,
1996-04,108.54,
1996-05,107.53,
1996-06,109.93,
1996-07,110.39,
1996-08,108.81,
1996-09,110.78,
1996-10,113.42,
1996-11,113.29,
1996-12,114.87,
1997-01,119.08,
1997-02,124.07,
1997-03,123.69,
1997-04,126.56,
1997-05,120.06,
1997-06,115.43,
1997-07,116.23,
1997-08,118.96,
1997-09,121.72,
1997-10,122.14,
1997-11,126.34,
1997-12,130.50,
1998-01,130.52,
1998-02,127.06,
1998-03,129.69,
1998-04,132.76,
1998-05,135.99,
1998-06,141.48,
1998-07,141.60,
1998-08,145.55,
1998-09,135.60,
1998-10,122.30,
1998-11,121.55,
1998-12,118.61,
1999-01,114.26,
1999-02,117.69,
1999-03,120.80,
1999-04,120.88,
1999-05,123.18,
1999-06,121.98,
1999-07,120.94,
1999-08,114.50,
1999-09,108.59,
1999-10,106.97,
1999-11,105.95,
