"",BBK01.OEBJ05J,BBK01.OEBJ05J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:31,
2002-01,0.096,
2002-04,0.096,
2002-07,0.095,
2002-10,0.091,
2003-01,0.090,
2003-04,0.083,
2003-07,0.074,
2003-10,0.071,
2004-01,0.063,
2004-04,0.055,
2004-07,0.058,
2004-10,0.056,
2005-01,0.064,
2005-04,0.068,
2005-07,0.062,
2005-10,0.061,
2006-01,0.057,
2006-04,0.060,
2006-07,0.059,
2006-10,0.054,
2007-01,0.059,
2007-04,0.056,
2007-07,0.052,
2007-10,0.049,
2008-01,0.049,
2008-04,0.038,
2008-07,0.044,
2008-10,0.042,
2009-01,0.041,
2009-04,0.037,
2009-07,0.038,
2009-10,0.036,
2010-01,0.037,
2010-04,0.036,
2010-07,0.037,
2010-10,0.035,
2011-01,0.032,
2011-04,0.031,
2011-07,0.030,
2011-10,0.025,
2012-01,0.035,
2012-04,4.347,
2012-07,4.176,
2012-10,4.022,
2013-01,3.894,
2013-04,2.433,
2013-07,1.613,
2013-10,1.568,
2014-01,0.038,
2014-04,0.072,
2014-07,0.068,
