"",BBFB1.M.N.DE.W1.S1.S1.T.D.D4O._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.D4O._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Other Primary income / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:28,
1991-01,372.537,
1991-02,353.105,
1991-03,333.020,
1991-04,435.829,
1991-05,369.811,
1991-06,518.542,
1991-07,385.155,
1991-08,382.896,
1991-09,384.118,
1991-10,480.318,
1991-11,461.707,
1991-12,558.142,
1992-01,387.164,
1992-02,419.407,
1992-03,365.203,
1992-04,392.015,
1992-05,382.841,
1992-06,428.803,
1992-07,456.226,
1992-08,343.774,
1992-09,362.859,
1992-10,348.041,
1992-11,345.101,
1992-12,475.896,
1993-01,335.261,
1993-02,333.887,
1993-03,316.718,
1993-04,320.057,
1993-05,338.857,
1993-06,484.778,
1993-07,337.015,
1993-08,301.196,
1993-09,372.873,
1993-10,373.226,
1993-11,344.939,
1993-12,445.114,
1994-01,335.581,
1994-02,360.957,
1994-03,314.681,
1994-04,343.182,
1994-05,340.843,
1994-06,466.085,
1994-07,312.576,
1994-08,321.638,
1994-09,300.259,
1994-10,322.033,
1994-11,326.245,
1994-12,494.014,
1995-01,323.127,
1995-02,340.015,
1995-03,317.916,
1995-04,300.604,
1995-05,323.166,
1995-06,433.980,
1995-07,331.515,
1995-08,306.393,
1995-09,314.680,
1995-10,326.091,
1995-11,329.297,
1995-12,484.369,
1996-01,329.795,
1996-02,317.566,
1996-03,326.070,
1996-04,300.507,
1996-05,282.758,
1996-06,407.624,
1996-07,284.402,
1996-08,267.745,
1996-09,290.651,
1996-10,287.926,
1996-11,297.999,
1996-12,405.522,
1997-01,284.042,
1997-02,282.167,
1997-03,280.405,
1997-04,296.944,
1997-05,288.805,
1997-06,440.114,
1997-07,301.250,
1997-08,293.825,
1997-09,433.749,
1997-10,304.228,
1997-11,317.417,
1997-12,441.632,
1998-01,309.150,
1998-02,286.490,
1998-03,280.189,
1998-04,288.813,
1998-05,278.623,
1998-06,413.505,
1998-07,270.486,
1998-08,288.994,
1998-09,360.064,
1998-10,301.941,
1998-11,286.569,
1998-12,405.350,
1999-01,277.736,
1999-02,284.370,
1999-03,259.131,
1999-04,252.873,
1999-05,265.005,
1999-06,398.857,
1999-07,256.276,
1999-08,276.618,
1999-09,317.069,
1999-10,272.822,
1999-11,293.575,
1999-12,453.909,
2000-01,284.920,
2000-02,297.197,
2000-03,273.500,
2000-04,254.572,
2000-05,283.563,
2000-06,394.992,
2000-07,279.790,
2000-08,299.492,
2000-09,329.717,
2000-10,310.509,
2000-11,309.315,
2000-12,469.599,
2001-01,308.612,
2001-02,292.704,
2001-03,281.731,
2001-04,283.728,
2001-05,269.170,
2001-06,389.853,
2001-07,270.353,
2001-08,269.548,
2001-09,364.043,
2001-10,295.854,
2001-11,271.880,
2001-12,300.488,
2002-01,257.284,
2002-02,223.804,
2002-03,226.166,
2002-04,251.545,
2002-05,228.278,
2002-06,373.336,
2002-07,245.873,
2002-08,294.668,
2002-09,241.151,
2002-10,269.831,
2002-11,261.111,
2002-12,379.231,
2003-01,251.747,
2003-02,237.370,
2003-03,231.192,
2003-04,252.215,
2003-05,233.226,
2003-06,322.368,
2003-07,235.150,
2003-08,222.194,
2003-09,248.630,
2003-10,259.277,
2003-11,253.976,
2003-12,303.886,
2004-01,245.885,
2004-02,242.891,
2004-03,232.463,
2004-04,233.027,
2004-05,244.675,
2004-06,360.029,
2004-07,256.640,
2004-08,289.800,
2004-09,354.629,
2004-10,247.284,
2004-11,266.701,
2004-12,526.692,
2005-01,260.515,
2005-02,255.991,
2005-03,244.687,
2005-04,248.424,
2005-05,265.782,
2005-06,384.327,
2005-07,261.962,
2005-08,293.688,
2005-09,394.126,
2005-10,323.702,
2005-11,349.865,
2005-12,549.413,
2006-01,313.215,
2006-02,295.471,
2006-03,323.562,
2006-04,326.926,
2006-05,299.176,
2006-06,359.383,
2006-07,322.416,
2006-08,310.626,
2006-09,311.480,
2006-10,342.647,
2006-11,410.037,
2006-12,499.352,
2007-01,341.434,
2007-02,305.893,
2007-03,284.799,
2007-04,344.331,
2007-05,348.108,
2007-06,359.930,
2007-07,315.674,
2007-08,323.971,
2007-09,367.252,
2007-10,393.264,
2007-11,381.069,
2007-12,401.278,
2008-01,386.236,
2008-02,325.849,
2008-03,443.446,
2008-04,493.291,
2008-05,327.216,
2008-06,331.197,
2008-07,324.239,
2008-08,322.021,
2008-09,364.776,
2008-10,363.624,
2008-11,475.622,
2008-12,404.392,
2009-01,366.600,
2009-02,335.912,
2009-03,384.389,
2009-04,343.392,
2009-05,302.051,
2009-06,310.662,
2009-07,301.168,
2009-08,284.598,
2009-09,320.752,
2009-10,328.363,
2009-11,330.403,
2009-12,387.508,
2010-01,302.752,
2010-02,283.258,
2010-03,333.412,
2010-04,314.856,
2010-05,330.982,
2010-06,318.533,
2010-07,314.178,
2010-08,330.373,
2010-09,359.866,
2010-10,390.282,
2010-11,402.462,
2010-12,412.967,
2011-01,381.278,
2011-02,359.841,
2011-03,414.897,
2011-04,390.643,
2011-05,378.829,
2011-06,359.292,
2011-07,359.217,
2011-08,370.265,
2011-09,388.970,
2011-10,365.791,
2011-11,442.003,
2011-12,406.787,
2012-01,386.362,
2012-02,353.733,
2012-03,404.723,
2012-04,398.651,
2012-05,363.044,
2012-06,348.751,
2012-07,359.687,
2012-08,330.789,
2012-09,381.683,
2012-10,429.059,
2012-11,397.222,
2012-12,393.381,
2013-01,372.661,
2013-02,319.895,
2013-03,373.307,
2013-04,394.728,
2013-05,326.236,
2013-06,318.736,
2013-07,335.688,
2013-08,321.509,
2013-09,364.383,
2013-10,409.452,
2013-11,399.515,
2013-12,420.131,
2014-01,351.238,
2014-02,318.724,Provisional value
2014-03,391.738,Provisional value
2014-04,383.648,Provisional value
2014-05,263.083,Provisional value
2014-06,347.054,Provisional value
2014-07,346.572,Provisional value
2014-08,364.313,Provisional value
2014-09,405.504,
2014-10,432.093,
2014-11,438.937,
2014-12,418.402,Provisional value
