"",BBFB1.Q.N.DE.BE.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.BE.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Belgium,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:57,
1991-01,770.865,
1991-04,967.726,
1991-07,939.881,
1991-10,1072.526,
1992-01,969.513,
1992-04,1058.744,
1992-07,1020.450,
1992-10,1098.721,
1993-01,1380.046,
1993-04,1593.202,
1993-07,1629.317,
1993-10,1799.445,
1994-01,1704.758,
1994-04,1573.304,
1994-07,1521.670,
1994-10,1595.565,
1995-01,1543.506,
1995-04,1706.466,
1995-07,1832.461,
1995-10,1973.042,
1996-01,2008.564,
1996-04,2128.947,
1996-07,2235.222,
1996-10,2166.654,
1997-01,2251.753,
1997-04,2233.782,
1997-07,2296.641,
1997-10,2233.097,
1998-01,2375.403,
1998-04,2721.672,
1998-07,2504.894,
1998-10,2625.622,
1999-01,2857.688,
1999-04,2988.658,
1999-07,3146.398,
1999-10,3236.582,
2000-01,3263.545,
2000-04,3651.837,
2000-07,4464.899,
2000-10,3720.485,
2001-01,4331.588,
2001-04,4937.206,
2001-07,4830.632,
2001-10,5157.438,
2002-01,5245.740,
2002-04,5710.412,
2002-07,5544.791,
2002-10,5646.768,
2003-01,6095.618,
2003-04,6531.747,
2003-07,6046.415,
2003-10,5955.836,
2004-01,5991.948,
2004-04,6349.065,
2004-07,6024.899,
2004-10,6121.852,
2005-01,6074.186,
2005-04,6858.762,
2005-07,6465.697,
2005-10,6401.319,
2006-01,6201.600,
2006-04,7119.484,
2006-07,6115.096,
2006-10,6132.490,
2007-01,6394.649,
2007-04,7854.942,
2007-07,7087.413,
2007-10,7480.621,
2008-01,7689.726,
2008-04,8111.036,
2008-07,6468.988,
2008-10,6127.223,
2009-01,5255.147,
2009-04,5504.968,
2009-07,3671.144,
2009-10,2923.138,
2010-01,4702.832,
2010-04,6181.253,
2010-07,4783.373,
2010-10,4861.436,
2011-01,4851.458,
2011-04,5963.608,
2011-07,4834.829,
2011-10,4935.451,
2012-01,5024.729,
2012-04,5270.490,
2012-07,5040.398,
2012-10,4961.530,
2013-01,4906.925,
2013-04,5145.149,
2013-07,4877.630,
2013-10,4895.107,
2014-01,4840.318,Provisional value
2014-04,5214.758,Provisional value
2014-07,4688.726,Provisional value
