"",BBFB1.Q.N.DE.CH.S1.S1.T.C.SD._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CH.S1.S1.T.C.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Receipts / Switzerland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:41,
1999-01,421.549,
1999-04,510.533,
1999-07,510.095,
1999-10,529.627,
2000-01,445.104,
2000-04,549.623,
2000-07,556.886,
2000-10,584.255,
2001-01,430.310,
2001-04,541.137,
2001-07,551.762,
2001-10,580.312,
2002-01,448.222,
2002-04,589.979,
2002-07,602.171,
2002-10,601.060,
2003-01,484.046,
2003-04,625.212,
2003-07,684.730,
2003-10,622.667,
2004-01,539.884,
2004-04,690.646,
2004-07,767.140,
2004-10,695.727,
2005-01,545.139,
2005-04,708.131,
2005-07,790.959,
2005-10,741.744,
2006-01,507.330,
2006-04,717.346,
2006-07,784.000,
2006-10,755.591,
2007-01,535.510,
2007-04,678.028,
2007-07,756.521,
2007-10,721.214,
2008-01,537.791,
2008-04,685.810,
2008-07,810.660,
2008-10,756.935,
2009-01,539.087,
2009-04,707.580,
2009-07,794.764,
2009-10,725.119,
2010-01,561.996,
2010-04,713.522,
2010-07,811.599,
2010-10,735.920,
2011-01,602.985,
2011-04,754.665,
2011-07,986.164,
2011-10,884.741,
2012-01,700.487,
2012-04,826.418,
2012-07,891.736,
2012-10,905.844,
2013-01,732.978,
2013-04,863.546,
2013-07,909.137,
2013-10,895.425,
2014-01,713.116,Provisional value
2014-04,862.710,Provisional value
2014-07,931.162,Provisional value
2014-10,891.323,Provisional value
