"",BBK01.OXA8X9,BBK01.OXA8X9_FLAGS
"",Deposits of banks (MFIs) Overnight deposits - All categories of banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:11,
1968-12,13.188,
1969-01,11.488,
1969-02,12.057,
1969-03,12.327,
1969-04,11.336,
1969-05,12.365,
1969-06,13.357,
1969-07,11.759,
1969-08,11.927,
1969-09,13.276,
1969-10,12.958,
1969-11,15.307,
1969-12,14.676,
1970-01,13.170,
1970-02,13.226,
1970-03,14.628,
1970-04,13.828,
1970-05,13.350,
1970-06,14.791,
1970-07,12.956,
1970-08,14.002,
1970-09,16.045,
1970-10,14.353,
1970-11,15.824,
1970-12,16.476,
1971-01,16.082,
1971-02,16.594,
1971-03,15.759,
1971-04,15.718,
1971-05,17.538,
1971-06,18.216,
1971-07,16.637,
1971-08,17.465,
1971-09,18.876,
1971-10,17.037,
1971-11,19.119,
1971-12,19.086,
1972-01,18.224,
1972-02,19.016,
1972-03,18.555,
1972-04,17.907,
1972-05,18.573,
1972-06,21.625,
1972-07,22.739,
1972-08,20.433,
1972-09,20.975,
1972-10,19.043,
1972-11,22.587,
1972-12,23.629,
1973-01,21.668,
1973-02,25.613,
1973-03,27.159,
1973-04,25.855,
1973-05,23.758,
1973-06,26.273,
1973-07,22.470,
1973-08,18.945,
1973-09,24.792,
1973-10,22.083,
1973-11,23.132,
1973-12,24.964,
1974-01,22.702,
1974-02,24.736,
1974-03,23.939,
1974-04,25.231,
1974-05,24.176,
1974-06,28.755,
1974-07,26.784,
1974-08,25.724,
1974-09,28.818,
1974-10,26.416,
1974-11,28.575,
1974-12,28.840,
1975-01,24.413,
1975-02,25.209,
1975-03,25.981,
1975-04,26.730,
1975-05,25.864,
1975-06,30.043,
1975-07,24.767,
1975-08,25.199,
1975-09,26.844,
1975-10,24.736,
1975-11,30.618,
1975-12,30.553,
1976-01,27.090,
1976-02,29.721,
1976-03,29.549,
1976-04,26.393,
1976-05,27.865,
1976-06,30.530,
