"",BBK01.OELB08S,BBK01.OELB08S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:22,
2002-01,1.687,
2002-04,1.691,
2002-07,1.708,
2002-10,1.772,
2003-01,1.753,
2003-04,1.772,
2003-07,1.792,
2003-10,1.784,
2004-01,1.770,
2004-04,1.770,
2004-07,1.738,
2004-10,1.727,
2005-01,1.698,
2005-04,1.695,
2005-07,1.691,
2005-10,1.689,
2006-01,1.660,
2006-04,1.671,
2006-07,1.666,
2006-10,1.689,
2007-01,1.706,
2007-04,1.638,
2007-07,1.638,
2007-10,1.630,
2008-01,1.627,
2008-04,1.640,
2008-07,1.666,
2008-10,1.680,
2009-01,1.678,
2009-04,1.691,
2009-07,1.776,
2009-10,1.854,
2010-01,1.851,
2010-04,1.876,
2010-07,1.901,
2010-10,1.987,
2011-01,1.992,
2011-04,2.034,
2011-07,2.059,
2011-10,2.247,
2012-01,2.269,
2012-04,2.743,
2012-07,2.780,
2012-10,2.783,
2013-01,2.799,
2013-04,2.824,
2013-07,2.884,
2013-10,2.968,
2014-01,2.976,
2014-04,3.026,
2014-07,3.060,
