"",BBFB1.M.N.DE.W1.S1.S1.T.B.SC3___BH._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.SC3___BH._Z._Z._Z._T._X.N_FLAGS
"",Current account / Transport / Other modes of transport / Balance / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:35,
1991-01,-221.947,
1991-02,-191.794,
1991-03,-230.542,
1991-04,-194.288,
1991-05,-202.852,
1991-06,-251.469,
1991-07,-308.553,
1991-08,-284.640,
1991-09,-258.113,
1991-10,-274.736,
1991-11,-263.312,
1991-12,-304.336,
1992-01,-248.179,
1992-02,-240.842,
1992-03,-291.315,
1992-04,-253.512,
1992-05,-265.475,
1992-06,-272.780,
1992-07,-300.669,
1992-08,-263.985,
1992-09,-248.884,
1992-10,-232.184,
1992-11,-233.845,
1992-12,-260.448,
1993-01,-270.866,
1993-02,-296.542,
1993-03,-213.156,
1993-04,-315.276,
1993-05,-293.629,
1993-06,-239.405,
1993-07,-360.460,
1993-08,-326.750,
1993-09,-234.916,
1993-10,-339.053,
1993-11,-342.198,
1993-12,-247.812,
1994-01,-287.342,
1994-02,-299.685,
1994-03,-327.729,
1994-04,-318.450,
1994-05,-323.825,
1994-06,-353.051,
1994-07,-335.337,
1994-08,-344.112,
1994-09,-346.045,
1994-10,-349.599,
1994-11,-341.920,
1994-12,-322.277,
1995-01,-335.581,
1995-02,-320.683,
1995-03,-382.210,
1995-04,-311.356,
1995-05,-365.202,
1995-06,-351.295,
1995-07,-351.301,
1995-08,-330.639,
1995-09,-362.634,
1995-10,-363.515,
1995-11,-349.225,
1995-12,-348.733,
1996-01,-341.189,
1996-02,-340.220,
1996-03,-374.430,
1996-04,-358.013,
1996-05,-375.698,
1996-06,-335.045,
1996-07,-338.137,
1996-08,-373.270,
1996-09,-330.515,
1996-10,-378.942,
1996-11,-364.988,
1996-12,-347.169,
1997-01,-362.367,
1997-02,-365.891,
1997-03,-370.720,
1997-04,-402.763,
1997-05,-394.223,
1997-06,-401.437,
1997-07,-411.497,
1997-08,-376.966,
1997-09,-400.957,
1997-10,-399.688,
1997-11,-434.380,
1997-12,-434.188,
1998-01,-405.769,
1998-02,-350.341,
1998-03,-452.832,
1998-04,-437.708,
1998-05,-433.225,
1998-06,-428.900,
1998-07,-462.494,
1998-08,-394.942,
1998-09,-479.637,
1998-10,-445.493,
1998-11,-407.191,
1998-12,-440.003,
1999-01,-376.387,
1999-02,-410.453,
1999-03,-428.218,
1999-04,-455.172,
1999-05,-463.753,
