"",BBEX3.M.HNL.USD.CA.AA.A01,BBEX3.M.HNL.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Honduras / USD 1 = HNL ... (buying),
unit,HNL (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:48,
1991-01,5.3000,
1991-02,5.3000,
1991-03,5.3000,
1991-04,5.3000,
1991-05,5.3000,
1991-06,5.3000,
1991-07,5.3000,
1991-08,5.3000,
1991-09,5.3000,
1991-10,5.3000,
1991-11,5.4000,
1991-12,5.4000,
1992-01,5.4000,
1992-02,5.4000,
1992-03,5.4000,
1992-04,5.4000,
1992-05,5.4000,
1992-06,5.4000,comment
1992-07,5.5200,
1992-08,5.5500,
1992-09,5.6300,
1992-10,5.7800,
1992-11,5.8300,
1992-12,5.8200,
1993-01,5.8300,
1993-02,5.8400,
1993-03,5.8600,
1993-04,5.9300,
1993-05,6.1100,
1993-06,6.3200,
1993-07,6.8600,
1993-08,6.8300,
1993-09,6.8900,
1993-10,6.9500,
1993-11,7.1500,
1993-12,7.2500,
1994-01,7.3000,
1994-02,7.4800,
1994-03,7.5500,comment
1994-04,8.0000,
1994-05,8.2000,
1994-06,8.6860,
1994-07,8.7721,
1994-08,8.9484,
1994-09,9.0379,
1994-10,9.1283,
1994-11,9.3118,
1994-12,9.2187,
1995-01,9.1335,
1995-02,9.0423,
1995-03,9.1327,
1995-04,9.1327,
1995-05,9.1327,
1995-06,9.3162,
1995-07,9.4094,
1995-08,9.5985,
1995-09,9.6945,
1995-10,9.7914,
1995-11,10.1390,
1995-12,10.2918,
1996-01,10.4469,
1996-02,10.7643,
1996-03,10.9812,
1996-04,11.0647,
1996-05,11.1625,
1996-06,11.6210,
1996-07,12.1111,
1996-08,12.3723,
1996-09,12.4892,
1996-10,12.5992,
1996-11,12.6534,
1996-12,12.8694,
1997-01,13.0330,
1997-02,12.7835,
1997-03,12.7447,
1997-04,13.0236,
1997-05,13.0604,
1997-06,13.0705,
1997-07,13.0783,
1997-08,13.0841,
1997-09,13.0869,
1997-10,13.0914,
1997-11,13.0961,
1997-12,13.0984,
1998-01,13.1332,
1998-02,13.1982,
1998-03,13.1619,
1998-04,13.2392,
1998-05,13.2895,
1998-06,13.3281,comment
1998-07,13.3830,
1998-08,13.4577,comment
1998-09,13.5456,
1998-10,13.6413,comment
1998-11,13.6897,
1998-12,13.8086,
1999-01,13.8679,
1999-02,13.9201,
1999-03,13.9927,
1999-04,14.0463,
1999-05,14.1334,
1999-06,14.1926,
1999-07,14.2427,
1999-08,14.3143,
1999-09,14.3689,
1999-10,14.4045,
1999-11,14.4666,
1999-12,14.5039,
2000-01,14.5534,comment
2000-02,14.6250,
2000-03,14.6649,
2000-04,14.7101,
2000-05,14.7900,
2000-06,14.8149,
2000-07,14.8736,
2000-08,14.9416,
2000-09,15.0144,
2000-10,14.8337,
2000-11,15.1121,
2000-12,15.1303,
2001-01,15.1800,
2001-02,15.2274,
2001-03,15.2823,
2001-04,15.3325,
2001-05,15.3872,
2001-06,15.4479,
2001-07,15.5032,
2001-08,15.5482,
2001-09,15.6438,
2001-10,15.7628,
2001-11,15.8510,
2001-12,15.9197,
2002-01,16.0256,
2002-02,16.1093,
2002-03,16.1912,
2002-04,16.2656,
2002-05,16.3405,
2002-06,16.4279,
2002-07,16.5003,
2002-08,16.5813,
2002-09,16.6731,
2002-10,16.7779,
2002-11,16.8405,
2002-12,16.9233,
2003-01,16.9972,
2003-02,17.0626,
2003-03,17.1423,
2003-04,17.2084,
2003-05,17.2535,
2003-06,17.3392,
2003-07,17.4176,
2003-08,17.4843,
2003-09,17.5642,
2003-10,17.6370,
2003-11,17.6948,
2003-12,17.7482,
2004-01,17.8179,
2004-02,17.8797,
2004-03,17.9850,
2004-04,18.0660,
2004-05,18.1349,
2004-06,18.2012,
2004-07,18.2789,
2004-08,18.3624,
2004-09,18.4412,
2004-10,18.5150,
2004-11,18.5600,
2004-12,18.6300,
2005-01,18.7000,
2005-02,18.7500,
2005-03,18.7800,
2005-04,18.8400,
2005-05,18.8600,
2005-06,18.8600,
2005-07,18.8700,
2005-08,18.8700,
2005-09,18.8900,
2005-10,18.9000,
2005-11,18.9000,
2005-12,18.9000,
2006-01,18.9000,
2006-02,18.9000,
2006-03,18.9000,
2006-04,18.9000,
2006-05,18.9000,
2006-06,18.9000,
2006-07,18.9000,
2006-08,18.9000,
2006-09,18.9000,
