"",BBK01.CEL40N,BBK01.CEL40N_FLAGS
"",Loans                                                           debtor: Total            creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:51:00,
1999-01,11.7,
1999-04,22.0,
1999-07,0.8,
1999-10,24.3,
2000-01,12.1,
2000-04,25.1,
2000-07,37.3,
2000-10,33.1,
2001-01,18.7,
2001-04,15.3,
2001-07,23.9,
2001-10,-7.5,
2002-01,4.5,
2002-04,16.8,
2002-07,7.0,
2002-10,0.2,
2003-01,15.6,
2003-04,19.8,
2003-07,7.4,
2003-10,-30.1,
2004-01,-21.6,
2004-04,-0.4,
2004-07,-12.3,
2004-10,-17.0,
2005-01,3.9,
2005-04,3.3,
2005-07,6.3,
2005-10,20.7,
2006-01,24.4,
2006-04,28.8,
2006-07,14.2,
2006-10,1.1,
2007-01,31.4,
2007-04,26.2,
2007-07,3.7,
2007-10,-41.3,
2008-01,25.0,
2008-04,24.6,
2008-07,-7.6,
2008-10,19.3,
2009-01,11.0,
2009-04,3.9,
2009-07,1.3,
2009-10,31.5,
2010-01,-11.6,
2010-04,16.9,
2010-07,34.4,
2010-10,106.2,
2011-01,-9.3,
2011-04,26.8,
2011-07,53.2,
2011-10,9.7,
2012-01,5.5,
2012-04,42.3,
2012-07,-31.3,
2012-10,1.7,
2013-01,27.1,
2013-04,56.1,
2013-07,-33.8,
2013-10,-0.4,
2014-01,2.5,
2014-04,17.9,
2014-07,-11.2,
