"",BBSF2.M.1.S.I1252.GEM01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1252.GEM01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Sales receipts / Other insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:54,
2009-09,119,
2009-10,72,
2009-11,192,
2009-12,1648,
2010-01,470,
2010-02,221,
2010-03,378,
2010-04,681,
2010-05,569,
2010-06,496,
2010-07,199,
2010-08,288,
2010-09,706,
2010-10,179,
2010-11,133,
2010-12,948,
2011-01,532,
2011-02,514,
2011-03,240,
2011-04,325,
2011-05,50,
2011-06,207,
2011-07,120,
2011-08,185,
2011-09,111,
2011-10,442,
2011-11,1658,
2011-12,347,
2012-01,471,
2012-02,589,
2012-03,423,
2012-04,160,
2012-05,320,
2012-06,363,
2012-07,212,
2012-08,290,
2012-09,956,
2012-10,454,
2012-11,544,
2012-12,724,
2013-01,483,
2013-02,682,
2013-03,909,
2013-04,293,
2013-05,757,
2013-06,391,
2013-07,436,
2013-08,247,
2013-09,327,
2013-10,362,
2013-11,749,
2013-12,990,
2014-01,1107,
2014-02,781,
2014-03,588,
2014-04,841,
2014-05,553,
2014-06,499,
2014-07,1124,
2014-08,574,
2014-09,486,
2014-10,662,
2014-11,399,
