"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.PT.00013.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.PT.00013.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Portugal / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:00,
2009-09,347,
2009-10,356,
2009-11,358,
2009-12,341,
2010-01,282,
2010-02,345,
2010-03,380,
2010-04,277,
2010-05,253,
2010-06,274,
2010-07,439,
2010-08,429,
2010-09,388,
2010-10,400,
2010-11,280,
2010-12,278,
2011-01,249,
2011-02,294,
2011-03,277,
2011-04,187,
2011-05,200,
2011-06,185,
2011-07,155,
2011-08,117,
2011-09,107,
2011-10,101,
2011-11,82,
2011-12,79,
2012-01,64,
2012-02,109,
2012-03,108,
2012-04,121,
2012-05,81,
2012-06,62,
2012-07,52,
2012-08,43,
2012-09,52,
2012-10,54,
2012-11,73,
2012-12,64,
2013-01,145,
2013-02,159,
2013-03,154,
2013-04,168,
2013-05,218,
2013-06,183,
2013-07,136,
2013-08,136,
2013-09,120,
2013-10,127,
2013-11,134,
2013-12,136,
2014-01,183,
2014-02,195,
2014-03,212,
2014-04,240,
2014-05,257,
2014-06,255,
2014-07,268,
2014-08,287,
2014-09,324,
2014-10,287,
2014-11,318,
