"",BBK01.PC3824,BBK01.PC3824_FLAGS
"",Housing loans to domestic enterprises and self-employed persons / Short-term / Foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:22:50,
1985-10,0.105,
1986-01,0.108,
1986-04,0.080,
1986-07,0.073,
1986-10,0.067,
1987-01,0.071,
1987-04,0.064,
1987-07,0.058,
1987-10,0.050,
1988-01,0.057,
1988-04,0.060,
1988-07,0.062,
1988-10,0.070,
1989-01,0.045,
1989-04,0.054,
1989-07,0.063,
1989-10,0.058,
1990-01,0.074,
1990-04,0.079,
1990-07,0.072,
1990-10,0.081,
1991-01,0.157,
1991-04,0.255,
1991-07,0.202,
1991-10,0.112,
1992-01,0.293,
1992-04,0.313,
1992-07,0.326,
1992-10,0.357,
1993-01,0.319,
1993-04,0.324,
1993-07,0.359,
1993-10,0.359,
1994-01,0.242,
1994-04,0.233,
1994-07,0.318,
1994-10,0.329,
1995-01,0.216,
1995-04,0.237,
1995-07,0.213,
1995-10,0.197,
1996-01,0.198,
1996-04,0.199,
1996-07,0.207,
1996-10,0.281,
1997-01,0.205,
1997-04,0.195,
1997-07,0.203,
1997-10,0.152,
1998-01,0.130,
1998-04,0.144,
1998-07,0.117,
1998-10,0.106,
1999-01,0.074,
1999-04,0.065,
1999-07,0.061,
1999-10,0.058,
2000-01,0.066,
2000-04,0.071,
2000-07,0.073,
2000-10,0.073,
2001-01,0.092,
2001-04,0.080,
2001-07,0.086,
2001-10,0.095,
2002-01,0.103,
2002-04,0.163,
2002-07,0.164,
2002-10,0.165,
2003-01,0.167,
2003-04,0.116,
2003-07,0.132,
2003-10,0.134,
2004-01,0.123,
2004-04,0.127,
2004-07,0.067,
2004-10,0.569,
2005-01,0.684,
2005-04,0.779,
2005-07,0.911,
2005-10,1.378,
2006-01,1.380,
2006-04,1.357,
2006-07,1.425,
2006-10,1.356,
2007-01,1.162,
2007-04,0.199,
2007-07,0.194,
2007-10,0.203,
2008-01,0.167,
2008-04,0.159,
2008-07,0.156,
2008-10,0.163,
2009-01,0.157,
2009-04,0.146,
2009-07,0.133,
2009-10,0.129,
2010-01,0.098,
2010-04,0.099,
2010-07,0.234,
2010-10,0.227,
2011-01,0.413,
2011-04,0.464,
2011-07,0.539,
2011-10,0.203,
2012-01,0.279,
2012-04,0.202,
2012-07,0.333,
2012-10,0.330,
2013-01,0.361,
2013-04,0.209,
2013-07,0.177,
2013-10,0.194,
2014-01,0.172,
2014-04,0.196,
2014-07,0.222,
2014-10,0.212,
