"",BBK01.OELB06V,BBK01.OELB06V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:51,
2002-01,0.788,
2002-04,0.810,
2002-07,0.794,
2002-10,0.765,
2003-01,0.773,
2003-04,0.755,
2003-07,0.742,
2003-10,0.677,
2004-01,0.662,
2004-04,0.646,
2004-07,0.639,
2004-10,0.615,
2005-01,0.605,
2005-04,0.573,
2005-07,0.562,
2005-10,0.526,
2006-01,0.522,
2006-04,0.541,
2006-07,0.559,
2006-10,0.513,
2007-01,0.498,
2007-04,0.496,
2007-07,0.506,
2007-10,0.512,
2008-01,0.499,
2008-04,0.515,
2008-07,0.519,
2008-10,0.508,
2009-01,0.514,
2009-04,0.526,
2009-07,0.512,
2009-10,0.472,
2010-01,0.492,
2010-04,0.482,
2010-07,0.477,
2010-10,0.454,
2011-01,0.452,
2011-04,0.463,
2011-07,0.479,
2011-10,0.447,
2012-01,0.462,
2012-04,0.485,
2012-07,0.504,
2012-10,0.512,
2013-01,0.532,
2013-04,0.548,
2013-07,0.560,
2013-10,0.546,
2014-01,0.567,
2014-04,0.607,
2014-07,0.636,
