"",BBFN1.M.DE.N.1.L.KW.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.KW.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Kuwait,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:27:50,
1994-07,0.029,
1994-08,0.044,
1994-09,0.040,
1994-10,0.018,
1994-11,0.017,
1994-12,0.018,
1995-01,0.018,
1995-02,0.018,
1995-03,0.018,
1995-04,0.027,
1995-05,0.017,
1995-06,0.017,
1995-07,0.017,
1995-08,0.022,
1995-09,0.019,
1995-10,0.019,
1995-11,0.019,
1995-12,0.019,
1996-01,0.018,
1996-02,0.018,
1996-03,0.019,
1996-04,0.020,
1996-05,0.016,
1996-06,0.024,
1996-07,0.026,
1996-08,0.025,
1996-09,0.023,
1996-10,0.022,
1996-11,0.013,
1996-12,0.020,
1997-01,0.014,
1997-02,0.014,
1997-03,0.013,
1997-04,0.014,
1997-05,0.014,
1997-06,0.021,
1997-07,0.021,
1997-08,0.021,
1997-09,0.023,
1997-10,0.021,
1997-11,0.015,
1997-12,0.023,
1998-01,0.014,
1998-02,0.015,
1998-03,0.018,
1998-04,0.019,
1998-05,0.020,
1998-06,0.012,
1998-07,0.019,
1998-08,0.022,
1998-09,0.016,
1998-10,0.018,
1998-11,0.018,
1998-12,0.014,
1999-01,0.014,
1999-02,0.014,
1999-03,0.016,
1999-04,0.014,
1999-05,0.016,
1999-06,0.016,
1999-07,0.016,
1999-08,0.019,
1999-09,0.013,
1999-10,0.017,
1999-11,0.016,
1999-12,0.020,
2000-01,0.022,
2000-02,0.035,
2000-03,0.038,
2000-04,0.030,
2000-05,0.030,
2000-06,0.032,
2000-07,0.035,
2000-08,0.034,
2000-09,0.034,
2000-10,0.034,
2000-11,0.028,
2000-12,0.031,
2001-01,0.033,
2001-02,0.029,
2001-03,0.031,
2001-04,0.030,
2001-05,0.031,
2001-06,0.030,
2001-07,0.029,
2001-08,0.031,
2001-09,0.029,
2001-10,0.026,
2001-11,0.026,
2001-12,0.023,
2002-01,0.024,
2002-02,0.026,
2002-03,0.027,
2002-04,0.023,
2002-05,0.028,
2002-06,0.023,
2002-07,0.017,
2002-08,0.017,
2002-09,0.013,
2002-10,0.018,
2002-11,0.019,
2002-12,0.017,
2003-01,0.014,
2003-02,0.022,
2003-03,0.018,
2003-04,0.017,
2003-05,0.018,
2003-06,0.014,
2003-07,0.019,
2003-08,0.024,
2003-09,0.036,
2003-10,0.031,
2003-11,0.049,
2003-12,0.043,
2004-01,0.028,
2004-02,0.031,
2004-03,0.038,
2004-04,0.038,
2004-05,0.048,
2004-06,0.053,
2004-07,0.057,
2004-08,0.016,
2004-09,0.060,
2004-10,0.061,
2004-11,0.020,
2004-12,0.029,
2005-01,0.019,
2005-02,0.037,
2005-03,0.079,
2005-04,0.031,
2005-05,0.038,
2005-06,0.085,
2005-07,0.021,
2005-08,0.024,
2005-09,0.031,
2005-10,0.029,
2005-11,0.029,
2005-12,0.023,
2006-01,0.016,
2006-02,0.022,
2006-03,0.019,
2006-04,0.015,
2006-05,0.016,
2006-06,0.030,
2006-07,0.034,
2006-08,0.027,
2006-09,0.029,
2006-10,0.031,
2006-11,0.030,
2006-12,0.029,
2007-01,0.031,
2007-02,0.031,
2007-03,0.025,
2007-04,0.023,
2007-05,0.021,
2007-06,0.012,
2007-07,0.013,
2007-08,0.012,
2007-09,0.013,
2007-10,0.020,
2007-11,0.020,
2007-12,0.019,
2008-01,0.018,
2008-02,0.023,
2008-03,0.024,
2008-04,0.023,
2008-05,0.022,
2008-06,0.019,
2008-07,0.017,
2008-08,0.018,
2008-09,0.014,
2008-10,0.016,
2008-11,0.021,
2008-12,0.017,
2009-01,0.018,
2009-02,0.018,
2009-03,0.018,
2009-04,0.028,
2009-05,0.038,
2009-06,0.040,
2009-07,0.017,
2009-08,0.024,
2009-09,0.025,
2009-10,0.021,
2009-11,0.020,
2009-12,0.023,
2010-01,0.024,
2010-02,0.032,
2010-03,0.036,
2010-04,0.013,
2010-05,0.013,
2010-06,0.016,
2010-07,0.013,
2010-08,0.012,
2010-09,0.044,
2010-10,0.038,
2010-11,0.035,
2010-12,0.038,
2011-01,0.039,
2011-02,0.034,
2011-03,0.034,
2011-04,0.031,
2011-05,0.030,
2011-06,0.032,
2011-07,0.033,
2011-08,0.029,
2011-09,0.033,
2011-10,0.028,
2011-11,0.030,
2011-12,0.034,
2012-01,0.029,
2012-02,0.029,
2012-03,0.031,
2012-04,0.038,
2012-05,0.039,
2012-06,0.038,
2012-07,0.034,
2012-08,0.034,
2012-09,0.028,
2012-10,0.025,
2012-11,0.024,
2012-12,0.022,
2013-01,0.020,
2013-02,0.024,
2013-03,0.025,
2013-04,0.020,
2013-05,0.021,
2013-06,0.021,
2013-07,0.020,
2013-08,0.022,
2013-09,0.022,
2013-10,0.031,
2013-11,0.028,
2013-12,0.036,
2014-01,0.034,
2014-02,0.034,
2014-03,0.024,
2014-04,0.042,
2014-05,0.058,
2014-06,0.065,
2014-07,0.050,
2014-08,0.015,
2014-09,0.016,
2014-10,0.017,
2014-11,0.022,
2014-12,0.032,
