"",BBK01.OEXJ05G,BBK01.OEXJ05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:47,
2002-01,11.332,
2002-04,11.490,
2002-07,11.364,
2002-10,11.725,
2003-01,11.830,
2003-04,11.593,
2003-07,11.830,
2003-10,12.159,
2004-01,12.342,
2004-04,12.487,
2004-07,12.971,
2004-10,12.918,
2005-01,5.658,
2005-04,5.721,
2005-07,0.608,
2005-10,0.578,
2006-01,0.690,
2006-04,0.725,
2006-07,0.619,
2006-10,0.724,
2007-01,0.773,
2007-04,0.828,
2007-07,0.825,
2007-10,0.824,
2008-01,0.820,
2008-04,1.015,
2008-07,1.012,
2008-10,1.012,
2009-01,1.032,
2009-04,1.049,
2009-07,1.093,
2009-10,1.149,
2010-01,1.190,
2010-04,1.158,
2010-07,1.155,
2010-10,1.739,
2011-01,1.705,
2011-04,1.729,
2011-07,2.836,
2011-10,2.940,
2012-01,3.003,
2012-04,3.143,
2012-07,2.794,
2012-10,2.746,
2013-01,2.808,
2013-04,2.860,
2013-07,3.182,
2013-10,3.113,
2014-01,3.122,
2014-04,3.329,
2014-07,3.197,
