"",BBK01.OUH388,BBK01.OUH388_FLAGS
"",Savings bonds purchased by non-banks (non-MFIs) / for more than one year up to and including two years / Savings banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:11:43,
1999-01,1.313,
1999-02,1.288,
1999-03,1.298,
1999-04,1.345,
1999-05,1.351,
1999-06,1.396,
1999-07,1.426,
1999-08,1.434,
1999-09,1.507,
1999-10,1.591,
1999-11,1.641,
1999-12,1.731,
2000-01,1.941,
2000-02,2.061,
2000-03,2.160,
2000-04,2.267,
2000-05,2.422,
2000-06,2.520,
2000-07,2.654,
2000-08,2.797,
2000-09,2.915,
2000-10,3.276,
2000-11,3.667,
2000-12,3.953,
2001-01,4.184,
2001-02,4.378,
2001-03,4.538,
2001-04,4.638,
2001-05,4.726,
2001-06,4.806,
2001-07,4.899,
2001-08,4.977,
2001-09,5.061,
2001-10,5.127,
2001-11,5.259,
2001-12,5.288,
2002-01,5.396,
2002-02,5.472,
2002-03,5.538,
2002-04,5.505,
2002-05,5.508,
2002-06,5.638,
2002-07,5.721,
2002-08,5.713,
2002-09,5.692,
2002-10,5.730,
2002-11,5.809,
2002-12,5.871,
2003-01,5.811,
2003-02,5.737,
2003-03,5.593,
2003-04,5.541,
2003-05,5.486,
2003-06,5.415,
2003-07,5.312,
2003-08,5.340,
2003-09,5.442,
2003-10,5.627,
2003-11,5.779,
2003-12,5.806,
2004-01,5.749,
2004-02,5.627,
2004-03,5.500,
2004-04,5.299,
2004-05,5.148,
2004-06,5.019,
2004-07,4.886,
2004-08,4.863,
2004-09,4.843,
2004-10,4.891,
2004-11,4.980,
2004-12,5.118,
2005-01,5.056,
2005-02,5.077,
2005-03,5.157,
2005-04,5.201,
2005-05,5.177,
2005-06,5.248,
2005-07,5.246,
2005-08,5.221,
2005-09,5.183,
2005-10,5.263,
2005-11,5.420,
2005-12,5.549,
2006-01,5.646,
2006-02,5.743,
2006-03,5.888,
2006-04,6.056,
2006-05,6.181,
2006-06,6.327,
2006-07,6.502,
2006-08,6.690,
2006-09,6.830,
2006-10,7.252,
2006-11,7.647,
2006-12,7.971,
2007-01,8.631,
2007-02,9.080,
2007-03,9.460,
2007-04,9.950,
2007-05,10.379,
2007-06,10.854,
2007-07,11.447,
2007-08,11.855,
2007-09,12.212,
2007-10,13.172,
2007-11,14.122,
2007-12,14.595,
2008-01,15.200,
2008-02,15.272,
2008-03,15.091,
2008-04,14.951,
2008-05,14.807,
2008-06,15.026,
2008-07,15.318,
2008-08,15.393,
2008-09,15.220,
2008-10,15.812,
2008-11,15.884,
2008-12,15.941,
2009-01,15.197,
2009-02,14.574,
2009-03,14.043,
2009-04,13.281,
2009-05,12.702,
2009-06,12.208,
2009-07,11.687,
2009-08,11.246,
2009-09,10.979,
2009-10,10.820,
2009-11,10.504,
2009-12,10.339,
2010-01,9.905,
2010-02,9.633,
2010-03,9.558,
2010-04,9.241,
2010-05,9.054,
2010-06,8.537,
2010-07,8.004,
2010-08,7.818,
2010-09,7.586,
2010-10,7.671,
2010-11,7.763,
2010-12,7.854,
2011-01,7.764,
2011-02,7.896,
2011-03,7.984,
2011-04,8.099,
2011-05,8.143,
2011-06,8.117,
2011-07,8.099,
2011-08,8.097,
2011-09,7.968,
2011-10,8.103,
2011-11,8.326,
2011-12,8.279,
2012-01,8.047,
2012-02,7.858,
2012-03,7.607,
2012-04,7.374,
2012-05,7.177,
2012-06,7.041,
2012-07,6.926,
2012-08,6.840,
2012-09,6.789,
2012-10,6.834,
2012-11,6.789,
2012-12,6.600,
2013-01,6.316,
2013-02,5.854,
2013-03,5.420,
2013-04,4.943,
2013-05,4.560,
2013-06,4.280,
2013-07,4.096,
2013-08,3.899,
2013-09,3.846,
2013-10,3.822,
2013-11,3.770,
2013-12,3.856,
2014-01,3.781,
2014-02,3.732,
2014-03,3.681,
2014-04,3.611,
2014-05,3.623,
2014-06,3.649,
2014-07,3.543,
2014-08,3.441,
2014-09,3.352,
2014-10,3.295,
2014-11,3.236,
2014-12,3.238,Provisional value
