"",BBAI3.Q.DE.N.V.LE.F52.SK.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F52.SK.A1.S.1.N.E.Z_FLAGS
"",Assets / Death benefit funds / Mutual funds shares / units / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:53,
2005-10,363,
2006-01,331,
2006-04,319,
2006-07,328,
2006-10,375,
2007-01,348,
2007-04,345,
2007-07,345,
2007-10,359,
2008-01,311,
2008-04,299,
2008-07,296,
2008-10,269,
2009-01,209,
2009-04,214,
2009-07,224,
2009-10,297,
2010-01,264,
2010-04,257,
2010-07,263,
2010-10,278,
2011-01,250,
2011-04,253,
2011-07,248,
2011-10,295,
2012-01,290,
2012-04,286,
2012-07,302,
2012-10,356,
2013-01,363,
2013-04,363,
2013-07,374,
2013-10,421,
2014-01,386,
2014-04,411,
2014-07,421,
