"",BBK01.CEF304,BBK01.CEF304_FLAGS
"",Debt securities                            debtor: Total                                         creditor: Central bank,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:00,
1999-01,38.0,
1999-04,37.4,
1999-07,36.9,
1999-10,41.9,
2000-01,44.4,
2000-04,45.0,
2000-07,47.9,
2000-10,45.7,
2001-01,45.3,
2001-04,45.8,
2001-07,43.2,
2001-10,42.6,
2002-01,38.8,
2002-04,33.3,
2002-07,31.2,
2002-10,30.7,
2003-01,30.2,
2003-04,28.1,
2003-07,27.6,
2003-10,25.3,
2004-01,26.1,
2004-04,24.1,
2004-07,24.4,
2004-10,22.1,
2005-01,23.5,
2005-04,25.2,
2005-07,25.7,
2005-10,26.5,
2006-01,23.6,
2006-04,23.8,
2006-07,22.2,
2006-10,21.0,
2007-01,21.0,
2007-04,21.7,
2007-07,25.5,
2007-10,27.9,
2008-01,27.7,
2008-04,26.2,
2008-07,27.6,
2008-10,31.6,
2009-01,32.2,
2009-04,35.3,
2009-07,39.7,
2009-10,41.8,
2010-01,49.8,
2010-04,66.4,
2010-07,65.5,
2010-10,67.1,
2011-01,65.4,
2011-04,64.3,
2011-07,84.8,
2011-10,98.1,
2012-01,104.5,
2012-04,105.9,
2012-07,106.5,
2012-10,107.0,
2013-01,102.3,
2013-04,98.7,
2013-07,95.5,
2013-10,94.6,
2014-01,94.6,
2014-04,91.9,
2014-07,87.0,
