"",BBK01.OELB10H,BBK01.OELB10H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:23,
2002-01,3.698,
2002-04,3.584,
2002-07,3.487,
2002-10,3.383,
2003-01,3.330,
2003-04,3.261,
2003-07,3.189,
2003-10,3.032,
2004-01,2.994,
2004-04,2.925,
2004-07,2.828,
2004-10,2.688,
2005-01,2.825,
2005-04,2.655,
2005-07,2.575,
2005-10,2.461,
2006-01,2.599,
2006-04,2.540,
2006-07,2.498,
2006-10,2.448,
2007-01,2.531,
2007-04,2.499,
2007-07,2.529,
2007-10,2.637,
2008-01,2.704,
2008-04,2.674,
2008-07,2.698,
2008-10,2.712,
2009-01,2.756,
2009-04,2.722,
2009-07,2.659,
2009-10,2.538,
2010-01,2.718,
2010-04,2.752,
2010-07,2.554,
2010-10,2.520,
2011-01,2.668,
2011-04,2.753,
2011-07,2.777,
2011-10,2.742,
2012-01,2.899,
2012-04,2.895,
2012-07,2.949,
2012-10,2.977,
2013-01,3.070,
2013-04,3.064,
2013-07,3.043,
2013-10,3.035,
2014-01,3.139,
2014-04,3.183,
2014-07,3.176,
