"",BBK01.OELL09P,BBK01.OELL09P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:35,
2002-01,0.429,
2002-04,0.424,
2002-07,0.419,
2002-10,0.442,
2003-01,0.464,
2003-04,0.431,
2003-07,0.419,
2003-10,0.388,
2004-01,0.371,
2004-04,0.314,
2004-07,0.294,
2004-10,0.294,
2005-01,0.294,
2005-04,0.275,
2005-07,0.285,
2005-10,0.299,
2006-01,0.341,
2006-04,0.333,
2006-07,0.335,
2006-10,0.348,
2007-01,0.329,
2007-04,0.317,
2007-07,0.370,
2007-10,0.397,
2008-01,0.402,
2008-04,0.376,
2008-07,0.305,
2008-10,0.258,
2009-01,0.239,
2009-04,0.268,
2009-07,0.336,
2009-10,0.456,
2010-01,0.571,
2010-04,0.621,
2010-07,0.596,
2010-10,0.537,
2011-01,0.418,
2011-04,0.321,
2011-07,0.288,
2011-10,0.287,
2012-01,0.302,
2012-04,0.302,
2012-07,0.327,
2012-10,0.323,
2013-01,0.368,
2013-04,0.354,
2013-07,0.322,
2013-10,0.297,
2014-01,0.237,
2014-04,0.250,
2014-07,0.254,
